precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"LEHENE SORINEL-GELU-PARTIDUL NAȚIONAL LIBERAL-voturi","GIURGIU TRAIAN-OCTAVIAN-PARTIDUL SOCIAL DEMOCRAT-voturi"
13,CLUJ,"CAMIN CULTURAL ARGHISU",294,AGHIREŞU,55473,1,PART,PRCNCT,P,P_SV,"2024-06-09 23:30:44",98,86,1,11,0,42,31,0,11,0,40,2,94,52,17,23
13,CLUJ,"CAMIN CULTURAL BAGARA",295,AGHIREŞU,55473,1,PART,PRCNCT,P,P_SV,"2024-06-10 02:37:58",325,319,0,6,0,169,163,0,6,0,162,7,349,180,114,48
13,CLUJ,"CAMIN CULTURAL DOROLTU",296,AGHIREŞU,55473,1,PART,PRCNCT,P,P_SV,"2024-06-10 00:26:03",81,73,0,8,0,56,48,0,8,0,53,3,80,24,38,15
13,CLUJ,"CAMIN CULTURAL LEGHIA",298,AGHIREŞU,55473,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:09:18",369,354,1,6,8,222,208,0,6,8,212,10,387,165,162,50
13,CLUJ,"CĂMINUL CULTURAL AGHIREŞU FABRICI",292,AGHIREŞU,55473,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:55:20",1118,1108,0,4,6,540,530,0,4,6,520,20,1212,672,193,327
13,CLUJ,"IMOBIL CONSILIU NR. 7",299,AGHIREŞU,55473,1,PROV,PRCNCT,P,P_SV,"2024-06-10 01:12:15",512,489,0,8,15,337,314,0,8,15,310,27,532,193,217,93
13,CLUJ,"SCOALA GENERALA AGHIRESU",291,AGHIREŞU,55473,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:45:59",1030,1009,0,2,19,371,353,0,2,16,345,26,1122,751,182,163
13,CLUJ,"SCOALA GENERALA AGHIRESU-FABRICI",293,AGHIREŞU,55473,1,PROV,PRCNCT,P,P_SV,"2024-06-10 07:22:29",1387,1377,0,4,6,632,622,0,4,6,595,37,1518,886,239,356
13,CLUJ,"SCOALA GENERALA INUCU",297,AGHIREŞU,55473,1,PART,PRCNCT,P,P_SV,"2024-06-10 01:59:35",268,254,0,7,7,194,180,0,7,7,182,12,277,83,136,46
13,CLUJ,"SCOALA GENERALA TICU-COLONIE",300,AGHIREŞU,55473,1,PART,PRCNCT,P,P_SV,"2024-06-10 01:16:30",226,217,1,8,0,85,77,0,8,0,78,7,239,154,25,53
