precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"IACIU CONSTANTIN-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","TOADER GABRIEL-PARTIDUL SOCIAL DEMOCRAT-voturi","ŢICAN LIVIU-FLORIAN-PARTIDUL NAȚIONAL LIBERAL-voturi"
36,TELEORMAN,"CĂMIN CULTURAL SAT PURANI",331,VITĂNEŞTI,153776,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:38:03",567,519,1,13,34,337,290,0,13,34,326,11,605,268,19,265,42
36,TELEORMAN,"CĂMIN CULTURAL SAT SILIŞTEA",332,VITĂNEŞTI,153776,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:09:28",663,560,1,29,73,416,314,0,29,73,416,0,695,279,7,388,21
36,TELEORMAN,"GRĂDINIȚA CU PROGRAM NORMAL NR. 1 VITĂNEȘTI",330,VITĂNEŞTI,153776,1,PART,PRCNCT,P,P_SV,"2024-06-10 02:38:52",971,840,0,53,78,673,542,0,53,78,673,0,1000,327,14,644,15
