precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL MIȘCAREA POPULARĂ-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","UNIUNEA SALVAȚI ROMÂNIA-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","PARTIDUL S.O.S. ROMÂNIA-voturi","PARTIDUL UMANIST SOCIAL LIBERAL-voturi","PARTIDUL NAȚIONAL CONSERVATOR ROMÂN-voturi","PARTIDUL ROMÂNIA MARE-voturi"
11,CARAŞ-SEVERIN,"CĂMINUL CULTURAL IABLANIŢA",259,IABLANIŢA,53023,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:10:10",648,603,0,19,26,448,403,0,19,26,433,15,662,214,69,18,29,144,72,5,51,16,29
11,CARAŞ-SEVERIN,"CĂMINUL CULTURAL PETNIC",261,IABLANIŢA,53023,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 06:40:34",510,455,0,25,30,480,425,0,25,30,455,14,624,155,5,58,15,168,43,2,152,8,4
11,CARAŞ-SEVERIN,"ŞCOALA PRIMARĂ GLOBU CRAIOVEI",260,IABLANIŢA,53023,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:30:40",507,484,0,8,15,373,350,0,8,15,358,15,532,156,4,72,16,183,4,3,23,44,9
