precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"ISTRATE JEAN-AURELIAN-PARTIDUL SOCIAL DEMOCRAT-voturi","MATEI COSTIN-PARTIDUL NAȚIONAL LIBERAL-voturi","BUIBĂR ION-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi"
16,DÂMBOVIŢA,"CĂMIN CULTURAL",416,VIŞINA,69330,1,PART,PRCNCT,P,P_SV,"2024-06-10 06:52:27",1300,1272,0,11,17,913,885,0,11,17,892,21,1413,500,500,358,34
16,DÂMBOVIŢA,"GRĂDINIŢA BROŞTENI",418,VIŞINA,69330,1,PART,PRCNCT,P,P_SV,"2024-06-10 06:39:28",953,930,1,17,5,592,570,0,17,5,572,19,1030,412,288,256,28
16,DÂMBOVIŢA,"GRĂDINIŢA NR. 1 VISINA",417,VIŞINA,69330,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:24:23",924,908,0,7,9,641,625,0,7,9,616,25,1020,379,354,221,41
