precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"CONSTANTIN AUREL-PARTIDUL NAȚIONAL LIBERAL-voturi","CÎRSTEA ANDREEA-MARIA-PARTIDUL SOCIAL DEMOCRAT-voturi","PETRACHE CRISTIAN-MARIAN-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi"
31,PRAHOVA,"CLǍDIRE NOUǍ - FOST SEDIU C.A.P.",452,IORDĂCHEANU,133722,1,PART,PRCNCT,P,P_SV,"2024-06-10 06:17:20",1041,1005,1,14,21,799,764,0,14,21,785,14,1100,301,284,461,40
31,PRAHOVA,"GRǍDINIȚA IORDǍCHEANU",450,IORDĂCHEANU,133722,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:37:59",988,960,2,17,9,663,636,1,17,9,647,16,1100,437,487,141,19
31,PRAHOVA,"ŞCOALA MOCEŞTI",451,IORDĂCHEANU,133722,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:14:39",994,969,0,6,19,636,611,0,6,19,623,13,1100,464,506,105,12
31,PRAHOVA,"ŞCOALA VǍRBILA",453,IORDĂCHEANU,133722,1,PART,PRCNCT,P,P_SV,"2024-06-10 08:43:44",1183,1168,1,4,10,779,765,0,4,10,740,39,1288,509,506,214,20
