precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"UNIUNEA SALVAȚI ROMÂNIA-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","FORȚA DREPTEI-voturi"
40,VÂLCEA,"GRĂDINIȚA CU PROGRAM NORMAL IZVORU",204,CREŢENI,169306,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 06:35:15",449,439,1,3,6,282,272,1,3,6,262,20,480,198,4,101,104,50,3
40,VÂLCEA,"GRĂDINIȚA CU PROGRAM NORMAL STREMINOASA",205,CREŢENI,169306,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:34:43",486,466,0,12,8,314,294,0,12,8,300,14,510,196,26,204,51,16,3
40,VÂLCEA,"ȘCOALA GIMNAZIALĂ CREȚENI",203,CREŢENI,169306,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 08:24:35",872,836,0,16,20,519,483,0,16,20,471,48,920,401,10,300,94,61,6
