precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"RUS CIPRIAN-VASILE-PARTIDUL SOCIAL DEMOCRAT-voturi","LENGHEL ADRIAN-DANIEL-PARTIDUL NAȚIONAL LIBERAL-voturi","LEŞ DANIEL-SORIN-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","MUREŞAN FLORIN-CĂLIN-PARTIDUL MIȘCAREA POPULARĂ-voturi"
26,MARAMUREŞ,"ŞCOALA CU CLASELE I-IV",226,ARDUSAT,107001,1,PART,PRCNCT,P,P_SV,"2024-06-10 00:53:50",385,365,1,12,7,217,198,0,12,7,212,5,400,183,64,51,91,6
26,MARAMUREŞ,"ŞCOALA CU CLASELE I-IV",225,ARDUSAT,107001,1,PART,PRCNCT,P,P_SV,"2024-06-10 01:39:56",232,219,0,10,3,142,129,0,10,3,137,5,300,158,86,29,10,12
26,MARAMUREŞ,"ŞCOALA CU CLASELE I-VIII",224,ARDUSAT,107001,1,PART,PRCNCT,P,P_SV,"2024-06-10 09:34:42",1686,1567,0,42,77,1000,881,0,42,77,947,52,1777,760,684,126,83,54
