precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL SOCIAL DEMOCRAT-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL LEGE EDUCAȚIE UNITATE-voturi","PARTIDUL ROMÂNIA MARE-voturi"
36,TELEORMAN,"ŞCOALA GIMNAZIALĂ(ŞCOALA NOUĂ)",238,PIETROŞANI,153589,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 06:11:20",1112,1025,0,31,56,769,685,0,31,53,752,17,1126,340,221,365,107,6,53
36,TELEORMAN,"ŞCOALA GIMNAZIALĂ(ŞCOALA VECHE)",237,PIETROŞANI,153589,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 08:03:01",928,866,1,24,37,676,614,1,24,37,660,16,1010,334,225,296,54,9,76
