precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PETRUŢ VLADIMIR-PARTIDUL NAȚIONAL LIBERAL-voturi","SLEZINGER BELA-PARTIDUL SOCIAL DEMOCRAT-voturi","MICA ZOLTAN-BÉLA-UNIUNEA SALVAȚI ROMÂNIA-voturi","INOAN IONICA-DANIEL-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi"
26,MARAMUREŞ,"COLEGIUL ECONOMIC „PINTEA VITEAZUL”",150,"ORAŞ CAVNIC",106782,1,PART,PRCNCT,P,P_SV,"2024-06-10 07:02:41",1679,1611,2,9,57,914,848,0,9,57,895,19,1800,886,458,101,283,53
26,MARAMUREŞ,"ŞCOALA GENERALĂ NR. 1",152,"ORAŞ CAVNIC",106782,2,PART,PRCNCT,P,P_SV,"2024-06-10 06:04:47",795,761,1,7,26,415,382,0,7,26,402,13,847,432,175,132,84,11
26,MARAMUREŞ,"ŞCOALA GENERALĂ NR. 2",151,"ORAŞ CAVNIC",106782,1,PART,PRCNCT,P,P_SV,"2024-06-10 06:43:06",1748,1636,1,28,83,977,867,1,28,81,967,10,1744,767,511,115,276,65
