precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"COMAN ALISA-FLORENTINA-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","IVAN DRAGOŞ-FLORIN-PARTIDUL NAȚIONAL LIBERAL-voturi","PUŢEANU MIHAI-MARINEL-PARTIDUL SOCIAL DEMOCRAT-voturi","PROSIE LĂCRĂMIOARA-ALIANȚA NAȚIONAL CREȘTINĂ-voturi","BENESCU GHEORGHE-ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi"
4,BACĂU,"CĂMINUL CULTURAL SATUL ONCEŞTI",478,ONCEŞTI,23868,1,PART,PRCNCT,P,P_SV,"2024-06-10 13:41:55",733,724,0,7,2,393,384,0,7,2,372,18,700,310,40,33,230,35,34
4,BACĂU,"SALA DE FESTIVITĂŢI SATUL TARNIŢA",479,ONCEŞTI,23868,2,PART,PRCNCT,P,P_SV,"2024-06-10 08:07:29",522,519,0,3,0,331,328,0,3,0,317,14,600,269,9,32,256,17,3
