precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"IORGA ALEXANDRU-PARTIDUL SOCIAL DEMOCRAT-voturi","GHEORGHE GRIGORE-PARTIDUL NAȚIONAL LIBERAL-voturi","DRAGOTĂ-ZAMFIR ANA-MARIA-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","DINCĂ GABRIEL-DĂNUŢ-ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi"
16,DÂMBOVIŢA,"COLEGIUL NAȚIONAL ” VLADIMIR STREINU”",95,"ORAŞ GĂEŞTI",65681,1,PROV,PRCNCT,P,P_SV,"2024-06-10 13:39:05",1482,1471,1,8,2,906,895,1,8,2,889,15,1620,716,395,425,43,26
16,DÂMBOVIŢA,"LICEUL TEHNOLOGIC ” DOCTOR CONSTANTIN ANGELESCU”",94,"ORAŞ GĂEŞTI",65681,1,PROV,PRCNCT,P,P_SV,"2024-06-10 16:42:48",1174,1162,0,12,0,739,727,0,12,0,718,21,1280,541,336,330,36,16
16,DÂMBOVIŢA,"ȘCOALA GIMNAZIALĂ NR.1",92,"ORAŞ GĂEŞTI",65681,1,PROV,PRCNCT,P,P_SV,"2024-06-10 04:38:57",902,896,0,4,2,530,524,0,4,2,520,8,990,462,238,244,23,15
16,DÂMBOVIŢA,"ȘCOALA GIMNAZIALĂ NR.1",93,"ORAŞ GĂEŞTI",65681,1,PROV,PRCNCT,P,P_SV,"2024-06-10 06:30:07",864,855,2,4,3,513,506,0,4,3,497,16,940,427,257,222,11,7
16,DÂMBOVIŢA,"ȘCOALA GIMNAZIALĂ ”RADU CEL MARE”",100,"ORAŞ GĂEŞTI",65681,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:31:43",591,582,1,8,0,347,339,0,8,0,342,5,640,293,191,133,8,10
16,DÂMBOVIŢA,"ȘCOALA GIMNAZIALĂ ”RADU CEL MARE”",101,"ORAŞ GĂEŞTI",65681,1,PROV,PRCNCT,P,P_SV,"2024-06-10 07:52:04",1152,1139,0,13,0,733,720,0,13,0,717,16,1240,507,302,379,21,15
16,DÂMBOVIŢA,"ȘCOALA GIMNAZIALĂ ”RADU CEL MARE”",102,"ORAŞ GĂEŞTI",65681,1,PROV,PRCNCT,P,P_SV,"2024-06-10 15:52:10",1556,1543,0,10,3,967,954,0,10,3,941,22,1710,747,384,519,26,12
16,DÂMBOVIŢA,"ȘCOALA GIMNAZIALĂ ”ȘERBAN CIOCULESCU”",99,"ORAŞ GĂEŞTI",65681,1,PROV,PRCNCT,P,P_SV,"2024-06-10 07:55:14",1230,1215,0,11,4,692,677,0,11,4,681,11,1344,652,322,315,26,18
16,DÂMBOVIŢA,"ȘCOALA GIMNAZIALĂ ”ȘERBAN CIOCULESCU”",97,"ORAŞ GĂEŞTI",65681,1,PART,PRCNCT,P,P_SV,"2024-06-10 07:01:31",790,780,0,8,2,439,429,0,8,2,431,8,860,421,182,217,21,11
16,DÂMBOVIŢA,"ȘCOALA GIMNAZIALĂ ”ȘERBAN CIOCULESCU”",98,"ORAŞ GĂEŞTI",65681,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:47:07",1096,1087,2,6,1,552,545,0,6,1,549,3,1200,648,270,243,20,16
16,DÂMBOVIŢA,"ȘCOALA GIMNAZIALĂ ”ȘERBAN CIOCULESCU”",96,"ORAŞ GĂEŞTI",65681,1,PROV,PRCNCT,P,P_SV,"2024-06-10 08:24:41",1249,1236,0,11,2,705,692,0,11,2,697,8,1370,665,329,326,20,22
