precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","PARTIDUL ROMÂNIA MARE-voturi","PARTIDUL PRO ROMÂNIA-voturi"
13,CLUJ,"CAMIN CULTURAL ALUNIS",303,ALUNIŞ,55623,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:54:06",467,429,0,18,20,299,261,0,18,20,285,14,465,166,84,64,109,14,14
13,CLUJ,"CAMIN CULTURAL CORNENI",304,ALUNIŞ,55623,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 01:28:13",92,89,0,1,2,48,45,0,1,2,44,4,101,53,4,12,17,0,11
13,CLUJ,"CAMIN CULTURAL VALE",306,ALUNIŞ,55623,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 01:01:25",84,78,0,6,0,57,51,0,6,0,53,4,85,28,4,12,28,4,5
13,CLUJ,"SEDIU ADMINISTRATIV GHIROLT",305,ALUNIŞ,55623,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:45:52",316,302,0,7,7,194,180,0,7,7,179,15,330,136,11,26,137,0,5
