precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"NEIDONI RADU-RAUL-PARTIDUL SOCIAL DEMOCRAT-voturi","LUPULESCU LUMINIŢA-VALENTINA-PARTIDUL NAȚIONAL LIBERAL-voturi","CRĂCIUNESCU CLAUDIU-DANIEL-PARTIDUL MIȘCAREA POPULARĂ-voturi"
22,HUNEDOARA,"CĂMIN CULTURAL MERIA",394,"LUNCA CERNII DE JOS",90119,1,PART,PRCNCT,P,P_SV,"2024-06-10 00:59:06",191,191,0,0,0,159,159,0,0,0,157,2,210,51,2,123,32
22,HUNEDOARA,"CĂMIN CULTURAL NEGOIU",395,"LUNCA CERNII DE JOS",90119,1,PART,PRCNCT,P,P_SV,"2024-06-10 00:02:34",155,143,7,5,0,103,98,0,5,0,102,1,160,57,6,95,1
22,HUNEDOARA,"ŞCOALA GIMNAZIALĂ LUNCA CERNII DE JOS",393,"LUNCA CERNII DE JOS",90119,2,PART,PRCNCT,P,P_SV,"2024-06-10 02:51:28",354,343,2,9,0,251,242,0,9,0,248,3,374,123,45,201,2
