precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"STĂNCULEŢ VIOREL-MARIAN-PARTIDUL NAȚIONAL LIBERAL-voturi","DUMITRU MARIANA-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","TOMA ION-SORIN-PARTIDUL SOCIAL DEMOCRAT-voturi","ANDRIEŞ ADRIAN-VASILE-PARTIDUL S.O.S. ROMÂNIA-voturi"
30,OLT,"ŞCOALA BACEA",255,MOVILENI,127689,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:22:55",1060,1015,0,10,35,689,644,0,10,35,628,18,1138,449,15,37,567,9
30,OLT,"SCOALA GENERALA MOVILENI ( GRADINITA)",254,MOVILENI,127689,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:15:13",651,593,0,3,55,413,355,0,3,55,407,6,732,319,7,92,299,9
30,OLT,"ŞCOALA MOVILENI",253,MOVILENI,127689,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:58:33",1009,964,1,20,24,622,577,1,20,24,618,4,1101,479,7,126,471,14
