precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","UNIUNEA SALVAȚI ROMÂNIA-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi"
5,BIHOR,"CĂMIN CULTURAL BULZ",282,BULZ,27935,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 02:35:19",648,635,0,3,10,507,494,0,3,10,502,5,708,201,25,102,200,175
5,BIHOR,"GRĂDINIȚA CU PROGRAM NORMAL NR. 3 MUNTENI",283,BULZ,27935,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 02:58:14",403,393,0,4,6,326,316,0,4,6,319,7,440,114,21,31,94,173
5,BIHOR,"ȘCOALA PRIMARĂ NR. 1 REMEȚI",284,BULZ,27935,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 03:37:45",630,603,2,8,17,469,444,0,8,17,462,7,653,184,49,9,183,221
