precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"ROTARU ADRIAN-FLORIAN-PARTIDUL NAȚIONAL LIBERAL-voturi","ANUŢA ION-PARTIDUL SOCIAL DEMOCRAT-voturi"
30,OLT,"ȘCOALA GIMNAZIALĂ BÎRZA",131,BÂRZA,125846,1,PROV,PRCNCT,P,P_SV,"2024-06-10 07:20:00",908,871,1,19,17,585,549,0,19,17,569,16,964,379,279,290
30,OLT,"SCOALA GIMNAZIALĂ BRANEȚ",132,BÂRZA,125846,1,PROV,PRCNCT,P,P_SV,"2024-06-10 06:42:04",1213,1154,0,19,40,821,762,0,19,40,796,25,1331,510,148,648
