precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"NICA IONUŢ-MIHAI-UNIUNEA SALVAȚI ROMÂNIA-voturi","GEORGESCU ALINA-IOANA-PARTIDUL SOCIAL DEMOCRAT-voturi","GHEORGHE IONUŢ-PARTIDUL NAȚIONAL LIBERAL-voturi","UDROIU MIHAELA-FORȚA DREPTEI-voturi","VOICU MIHAI-PARTIDUL PRO ROMÂNIA-voturi","POPESCU RADU-VICTOR-PARTIDUL UMANIST SOCIAL LIBERAL-voturi"
3,ARGEŞ,"GRĂDINIŢA DRĂGHICEŞTI",276,CĂLINEŞTI,15108,1,PART,PRCNCT,P,P_SV,"2024-06-10 06:57:10",861,855,0,4,2,476,470,0,4,2,462,14,800,324,50,201,135,53,7,16
3,ARGEŞ,"GRĂDINIȚA UDENI",278,CĂLINEŞTI,15108,1,PART,PRCNCT,P,P_SV,"2024-06-10 07:20:46",566,558,0,8,0,365,357,0,8,0,346,19,800,435,7,184,66,86,2,1
3,ARGEŞ,"SCOALA CALINESTI",272,CĂLINEŞTI,15108,1,PART,PRCNCT,P,P_SV,"2024-06-10 09:37:19",1667,1634,2,6,25,848,817,0,6,25,818,30,1600,752,51,365,243,118,18,23
3,ARGEŞ,"SCOALA CIOCANESTI",274,CĂLINEŞTI,15108,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:22:27",751,747,2,0,2,409,407,0,0,2,395,14,800,391,20,150,166,47,9,3
3,ARGEŞ,"SCOALA CIRSTIENI",273,CĂLINEŞTI,15108,1,PART,PRCNCT,P,P_SV,"2024-06-10 06:16:20",643,637,0,6,0,319,313,0,6,0,302,17,800,481,17,221,46,9,6,3
3,ARGEŞ,"ȘCOALA GENERALĂ VALEA CORBULUI",280,CĂLINEŞTI,15108,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:50:37",968,962,0,6,0,446,440,0,6,0,395,51,900,454,7,271,63,3,4,47
3,ARGEŞ,"SCOALA GENERALA VRANESTI",271,CĂLINEŞTI,15108,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:22:02",1038,1032,3,3,0,570,567,0,3,0,551,17,911,341,25,200,246,66,7,7
3,ARGEŞ,"SCOALA GLODU",275,CĂLINEŞTI,15108,2,PART,PRCNCT,P,P_SV,"2024-06-10 08:01:14",580,571,0,9,0,342,333,0,9,0,333,9,800,458,22,217,60,33,0,1
3,ARGEŞ,"SCOALA RADU NEGRU",277,CĂLINEŞTI,15108,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:29:24",524,518,0,4,2,308,302,0,4,2,299,9,800,492,7,140,111,27,12,2
3,ARGEŞ,"SCOALA RINCACIOV",279,CĂLINEŞTI,15108,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:32:10",524,517,0,7,0,302,295,0,7,0,293,9,800,498,17,184,44,34,11,3
3,ARGEŞ,"SCOALA VALENI",281,CĂLINEŞTI,15108,1,PART,PRCNCT,P,P_SV,"2024-06-10 06:08:58",884,876,2,4,2,459,452,1,4,2,436,23,800,341,22,197,135,65,8,9
