precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"LUCHIAN ALIN-MIHAI-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","VLĂDESCU LUMINIŢA-PARTIDUL SOCIAL DEMOCRAT-voturi","VRABIE VALENTIN-PARTIDUL NAȚIONAL LIBERAL-voturi","NANU FLORIN-PARTIDUL S.O.S. ROMÂNIA-voturi","IBRAM CHENAN-ALIANȚA PENTRU MEDGIDIA-voturi","VLĂDUŢ MANUEL-VASILE-PARTIDUL ALTERNATIVA DREAPTĂ-voturi"
14,CONSTANŢA,"ŞCOALA GIMNAZIALĂ ”CONSTANTIN BRÂNCUŞI”",248,"MUNICIPIUL MEDGIDIA",60847,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:37:08",940,933,0,7,0,367,360,0,7,0,362,5,1000,633,17,86,217,19,15,8
14,CONSTANŢA,"ŞCOALA GIMNAZIALĂ ”CONSTANTIN BRÂNCUŞI”",247,"MUNICIPIUL MEDGIDIA",60847,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:15:05",945,938,0,7,0,391,384,0,7,0,377,14,1000,609,14,72,229,12,46,4
14,CONSTANŢA,"ŞCOALA GIMNAZIALĂ ”CONSTANTIN BRÂNCUŞI”",249,"MUNICIPIUL MEDGIDIA",60847,2,PART,PRCNCT,P,P_SV,"2024-06-10 07:42:14",735,725,1,9,0,317,308,0,9,0,303,14,800,483,21,41,190,13,29,9
14,CONSTANŢA,"SCOALA GIMNAZIALĂ ”I.L.CARAGIALE”",267,"MUNICIPIUL MEDGIDIA",60847,2,PART,PRCNCT,P,P_SV,"2024-06-10 10:18:59",1022,1011,3,8,0,468,460,0,8,0,447,21,1100,632,25,79,300,21,15,7
14,CONSTANŢA,"SCOALA GIMNAZIALĂ ”I.L.CARAGIALE”",266,"MUNICIPIUL MEDGIDIA",60847,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:02:17",968,961,0,7,0,396,389,0,7,0,387,9,1100,704,23,56,277,20,7,4
14,CONSTANŢA,"ŞCOALA GIMNAZIALĂ ”I.L.CARAGIALE”",265,"MUNICIPIUL MEDGIDIA",60847,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:04:33",970,960,4,6,0,487,481,0,6,0,479,8,1100,613,23,84,329,15,16,12
14,CONSTANŢA,"ŞCOALA GIMNAZIALĂ ”I.L.CARAGIALE” MEDGIDIA",264,"MUNICIPIUL MEDGIDIA",60847,2,PART,PRCNCT,P,P_SV,"2024-06-10 07:14:00",645,642,0,3,0,258,255,0,3,0,251,7,700,442,15,43,171,9,13,0
14,CONSTANŢA,"ŞCOALA GIMNAZIALĂ ”LUCIAN GRIGORESCU”",263,"MUNICIPIUL MEDGIDIA",60847,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:55:39",590,582,0,8,0,290,282,0,8,0,284,6,600,310,16,70,151,9,24,14
14,CONSTANŢA,"ŞCOALA GIMNAZIALĂ ”LUCIAN GRIGORESCU”",262,"MUNICIPIUL MEDGIDIA",60847,2,PART,PRCNCT,P,P_SV,"2024-06-10 08:49:44",983,976,0,7,0,422,415,0,7,0,404,18,1100,678,19,75,267,17,17,9
14,CONSTANŢA,"ŞCOALA GIMNAZIALĂ ”MIHAIL SADOVEANU”",244,"MUNICIPIUL MEDGIDIA",60847,2,PART,PRCNCT,P,P_SV,"2024-06-10 08:51:03",1113,1103,0,8,2,376,366,0,8,2,324,52,1200,824,15,57,117,25,105,5
14,CONSTANŢA,"ŞCOALA GIMNAZIALĂ ”MIHAIL SADOVEANU”",243,"MUNICIPIUL MEDGIDIA",60847,1,PART,PRCNCT,P,P_SV,"2024-06-10 06:51:57",1386,1379,0,7,0,440,433,0,7,0,364,76,1500,1060,11,58,94,12,186,3
14,CONSTANŢA,"ŞCOALA GIMNAZIALĂ ”MIHAIL SADOVEANU”",242,"MUNICIPIUL MEDGIDIA",60847,4,PART,PRCNCT,P,P_SV,"2024-06-10 12:20:00",865,857,0,8,0,293,285,0,8,0,282,11,900,607,10,45,159,12,51,5
14,CONSTANŢA,"SCOALA GIMNAZIALĂ ”MIRCEA DRAGOMIRESCU”",253,"MUNICIPIUL MEDGIDIA",60847,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:19:27",902,894,0,8,0,359,351,0,8,0,346,13,1100,741,14,68,212,20,20,12
14,CONSTANŢA,"ŞCOALA GIMNAZIALĂ ”MIRCEA DRAGOMIRESCU”",254,"MUNICIPIUL MEDGIDIA",60847,2,PART,PRCNCT,P,P_SV,"2024-06-10 05:32:00",736,726,1,6,3,309,300,0,6,3,300,9,900,591,15,61,185,10,20,9
14,CONSTANŢA,"ŞCOALA GIMNAZIALĂ ”MIRCEA DRAGOMIRESCU”",255,"MUNICIPIUL MEDGIDIA",60847,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:09:21",1140,1134,0,6,0,505,499,0,6,0,488,17,1300,795,7,80,319,28,30,24
14,CONSTANŢA,"ŞCOALA GIMNAZIALĂ ”SPIRU HARET”",271,"MUNICIPIUL MEDGIDIA",60847,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:51:40",1144,1135,2,7,0,456,449,0,7,0,427,29,1288,832,31,39,321,15,16,5
14,CONSTANŢA,"ŞCOALA GIMNAZIALĂ ”SPIRU HARET”",272,"MUNICIPIUL MEDGIDIA",60847,2,PART,PRCNCT,P,P_SV,"2024-06-10 11:06:21",1125,1119,0,6,0,476,470,0,6,0,461,15,1200,724,26,68,329,23,12,3
14,CONSTANŢA,"ŞCOALA GIMNAZIALĂ ”SPIRU HARET”",270,"MUNICIPIUL MEDGIDIA",60847,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:43:42",982,977,0,5,0,411,406,0,5,0,392,19,1100,689,19,59,270,25,15,4
