precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","UNIUNEA SALVAȚI ROMÂNIA-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi"
29,NEAMŢ,"SCOALA GIMNAZIALA NR. 1",377,POIENARI,123709,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 03:48:09",945,921,0,3,21,605,581,0,3,21,576,29,1000,395,104,32,356,84
29,NEAMŢ,"SCOALA GIMNAZIALA STRUCTURA SACALENI",378,POIENARI,123709,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 02:34:01",271,264,0,2,5,153,146,0,2,5,141,12,343,190,22,7,85,27
