precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"TUDORICĂ MARIAN-VIOREL-PARTIDUL NAȚIONAL LIBERAL-voturi","NĂDESCU VIOREL-PARTIDUL SOCIAL DEMOCRAT-voturi","PETCU MARIANA-UNIUNEA SALVAȚI ROMÂNIA-voturi","TIUTIU MUGUREL-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","VLĂDESCU LEON-PARTIDUL UMANIST SOCIAL LIBERAL-voturi"
30,OLT,"CASA DE CULTURĂ",95,"ORAŞ DRĂGĂNEŞTI-OLT",125622,1,PROV,PRCNCT,P,P_SV,"2024-06-10 09:49:16",1215,1178,0,20,17,739,702,0,20,17,679,51,1305,575,381,268,4,13,13
30,OLT,"CASA DE CULTURĂ",96,"ORAŞ DRĂGĂNEŞTI-OLT",125622,1,PROV,PRCNCT,P,P_SV,"2024-06-10 05:33:20",870,846,0,13,11,442,418,0,13,11,407,35,947,505,199,196,2,7,3
30,OLT,"GRĂDINIȚA COMANI",99,"ORAŞ DRĂGĂNEŞTI-OLT",125622,1,PROV,PRCNCT,P,P_SV,"2024-06-10 08:23:56",1222,1189,0,17,16,831,798,0,17,16,786,45,1357,526,301,441,8,12,24
30,OLT,"GRĂDINIȚA COMANI",98,"ORAŞ DRĂGĂNEŞTI-OLT",125622,1,PROV,PRCNCT,P,P_SV,"2024-06-10 16:59:27",1159,1128,0,17,14,797,766,0,17,14,765,32,1281,484,314,390,9,21,31
30,OLT,"LICEUL TEORETIC TUDOR VLADIMIRESCU",97,"ORAŞ DRĂGĂNEŞTI-OLT",125622,1,PROV,PRCNCT,P,P_SV,"2024-06-10 11:38:46",1882,1769,1,62,50,1276,1164,0,62,50,1212,64,2002,726,701,463,11,12,25
30,OLT,"LICEUL T.VLADIMIRESCU DRĂGĂNEŞTI-OLT",93,"ORAŞ DRĂGĂNEŞTI-OLT",125622,1,PROV,PRCNCT,P,P_SV,"2024-06-10 10:52:54",1569,1528,1,21,19,984,943,1,21,19,940,44,1741,757,536,368,13,8,15
30,OLT,"LICEUL T.VLADIMIRESCU DRĂGĂNEŞTI-OLT",94,"ORAŞ DRĂGĂNEŞTI-OLT",125622,1,PROV,PRCNCT,P,P_SV,"2024-06-10 16:25:02",1417,1361,1,47,8,893,838,0,47,8,872,21,1569,676,475,357,18,9,13
