precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"VÂŞCĂ MARIUS-EMILIAN-PARTIDUL SOCIAL DEMOCRAT-voturi","GEORGESCU ION-OCTAVIAN-PARTIDUL NAȚIONAL LIBERAL-voturi","BASARABA ILIE-FLORIN-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","FULGA ANA-ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi","CHERESCU MARIAN-VIOREL-voturi"
27,MEHEDINŢI,"GRADINITA ESELNITA",172,EŞELNIŢA,112245,2,PART,PRCNCT,P,P_SV,"2024-06-10 09:37:47",1274,1231,1,31,11,739,697,0,31,11,722,17,1403,664,313,32,129,164,84
27,MEHEDINŢI,"GRADINITA ESELNITA",171,EŞELNIŢA,112245,2,PART,PRCNCT,P,P_SV,"2024-06-10 10:28:58",1207,1157,5,38,7,664,619,0,38,7,653,11,1278,614,253,56,100,151,93
