precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"VULPE LUCIAN-ANDREI-PARTIDUL NAȚIONAL LIBERAL-voturi","DEBRECZENI DEZIDERIU-UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi","MESEŞAN IOAN-PARTIDUL SOCIAL DEMOCRAT-voturi"
33,SĂLAJ,"ŞCOALA CU CLASELE I-IV CHILIOARA",113,COŞEIU,140583,2,PART,PRCNCT,P,P_SV,"2024-06-13 13:06:33",248,218,0,20,10,166,136,0,20,10,163,3,255,89,63,19,81
33,SĂLAJ,"ŞCOALA GIMNAZIALĂ ARCHID",112,COŞEIU,140583,2,PART,PRCNCT,P,P_SV,"2024-06-13 13:03:54",383,352,1,13,17,296,266,0,13,17,285,11,400,104,36,235,14
33,SĂLAJ,"SCOALA GIMNAZIALA NR. 1 COSEIU",111,COŞEIU,140583,2,PART,PRCNCT,P,P_SV,"2024-06-13 12:59:49",419,343,1,65,10,310,234,1,65,10,307,3,374,64,226,67,14
