precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"COMAN IOAN-RADU-PARTIDUL NAȚIONAL LIBERAL-voturi","COMAN VASILE-PARTIDUL SOCIAL DEMOCRAT-voturi","CHIRA SIMION-FLORIN-UNIUNEA SALVAȚI ROMÂNIA-voturi","FILIP ADRIAN-NICOLAE-PARTIDUL UMANIST SOCIAL LIBERAL-voturi"
26,MARAMUREŞ,"CANTINA DE AJUTOR SOCIAL",220,"ORAŞ VIŞEU DE SUS",106979,1,PART,PRCNCT,P,P_SV,"2024-06-10 10:04:26",1463,1453,0,10,0,683,673,0,10,0,652,31,1600,917,275,327,13,37
26,MARAMUREŞ,GRĂDINIŢA,223,"ORAŞ VIŞEU DE SUS",106979,1,PROV,PRCNCT,P,P_SV,"2024-06-10 09:00:03",759,747,0,11,1,423,411,0,11,1,403,9,807,395,266,120,5,12
26,MARAMUREŞ,"GRĂDINIŢA NR. 5",213,"ORAŞ VIŞEU DE SUS",106979,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:51:22",1043,1026,2,6,9,484,469,0,6,9,460,24,1200,716,214,231,4,11
26,MARAMUREŞ,"GRĂDINIŢA NR. 5",212,"ORAŞ VIŞEU DE SUS",106979,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:48:52",1058,1048,0,6,4,479,469,0,6,4,463,16,1200,721,187,253,2,21
26,MARAMUREŞ,"LICEUL TEHNOLOGIC",216,"ORAŞ VIŞEU DE SUS",106979,1,PART,PRCNCT,P,P_SV,"2024-06-10 10:41:53",1628,1615,0,8,5,637,624,0,8,5,605,32,1800,1163,270,298,20,17
26,MARAMUREŞ,"LICEUL TEHNOLOGIC",217,"ORAŞ VIŞEU DE SUS",106979,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:59:13",1638,1630,1,7,0,517,510,0,7,0,502,15,1800,1283,209,274,7,12
26,MARAMUREŞ,"LICEUL TEHNOLOGIC NR. 4",218,"ORAŞ VIŞEU DE SUS",106979,1,PROV,PRCNCT,P,P_SV,"2024-06-10 03:43:24",1047,1038,0,7,2,471,462,0,7,2,431,40,1100,629,124,288,11,8
26,MARAMUREŞ,"LICEUL TEHNOLOGIC NR. 4",219,"ORAŞ VIŞEU DE SUS",106979,1,PROV,PRCNCT,P,P_SV,"2024-06-10 05:04:59",947,933,0,11,3,480,466,0,11,3,434,42,1000,524,137,286,4,7
26,MARAMUREŞ,"LICEUL TEORETIC BOGDAN VODĂ",214,"ORAŞ VIŞEU DE SUS",106979,1,PART,PRCNCT,P,P_SV,"2024-06-10 06:22:08",858,853,0,2,3,344,339,0,2,3,335,9,1000,647,163,157,8,7
26,MARAMUREŞ,"LICEUL TEORETIC BOGDAN VODĂ",215,"ORAŞ VIŞEU DE SUS",106979,1,PART,PRCNCT,P,P_SV,"2024-06-10 08:15:49",918,913,2,2,1,401,397,1,2,1,395,6,1000,599,177,198,10,10
26,MARAMUREŞ,"ŞCOALA GIMNAZIALĂ NR. 7",221,"ORAŞ VIŞEU DE SUS",106979,1,PART,PRCNCT,P,P_SV,"2024-06-10 08:10:50",1674,1661,2,6,5,721,710,0,6,5,690,25,1800,1085,282,391,6,11
26,MARAMUREŞ,"ŞCOALA GIMNAZIALĂ NR. 7",222,"ORAŞ VIŞEU DE SUS",106979,1,PART,PRCNCT,P,P_SV,"2024-06-10 07:53:49",1482,1470,4,8,0,577,567,2,8,0,560,17,1600,1023,231,303,8,18
