precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL NAȚIONAL LIBERAL-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi"
1,ALBA,"CĂMINUL CULTURAL BUCERDEA GRÂNOASĂ",212,"BUCERDEA GRÂNOASĂ",9026,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 07:43:12",1050,1024,2,2,22,754,730,0,2,22,731,23,1200,446,227,288,27,189
1,ALBA,"ŞCOALA GIMNAZIALĂ IOAN MAIORESCU BUCERDEA GRANOASĂ",213,"BUCERDEA GRÂNOASĂ",9026,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:18:58",763,749,0,1,13,486,472,0,1,13,461,25,796,310,146,252,31,32
