precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"NECHIFOR-GRIGORAŞ IOAN-CLAUDIU-PARTIDUL SOCIAL DEMOCRAT-voturi","VLAD TOADER-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","APETREI CĂTĂLIN-IONEL-PARTIDUL NAȚIONAL LIBERAL-voturi","MICU ION-ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi"
4,BACĂU,"ŞCOALA NR.1 IOAN BORCEA RACOVA",534,RACOVA,24711,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:09:50",1315,1304,0,9,2,644,633,0,9,2,613,31,1400,756,26,162,408,17
4,BACĂU,"ŞCOALA NR.2 RACOVA-ŞES",535,RACOVA,24711,2,PART,PRCNCT,P,P_SV,"2024-06-10 09:16:35",645,639,0,4,2,358,352,0,4,2,345,13,700,342,14,97,226,8
4,BACĂU,"ŞCOALA SATUL GURA VĂII",536,RACOVA,24711,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:14:45",999,990,0,5,4,495,486,0,5,4,481,14,1100,605,10,107,283,81
