precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL NAȚIONAL LIBERAL-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL LEGE EDUCAȚIE UNITATE-voturi"
24,IAŞI,"GRADINITA COLTU-CORNII",484,GROZEŞTI,97394,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:35:16",465,430,0,3,32,280,245,0,3,32,271,9,500,220,75,184,10,2
24,IAŞI,"SC. GIMNAZIALA GROZESTI",483,GROZEŞTI,97394,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 03:16:27",943,888,0,5,50,504,449,0,5,50,482,16,931,433,90,352,19,21
