precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"BULGARU FLORIN-DAN-PARTIDUL NAȚIONAL LIBERAL-voturi","DOCHIŢA DAN-PARTIDUL SOCIAL DEMOCRAT-voturi","HONCERU DAN-IULIAN-ALIANȚA NAȚIONAL CREȘTINĂ-voturi","FILOTE RĂZVAN-IONEL-ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi"
7,BOTOŞANI,"CĂMIN CULTURAL RĂCHIŢI",339,RĂCHIŢI,35839,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:58:15",1139,1135,0,4,0,621,617,0,4,0,595,26,1200,579,303,272,13,7
7,BOTOŞANI,"CĂMIN CULTURAL ROŞIORI",342,RĂCHIŢI,35839,2,PART,PRCNCT,P,P_SV,"2024-06-10 09:02:42",1406,1393,0,11,2,697,684,0,11,2,679,18,1500,803,465,200,3,11
7,BOTOŞANI,"GRĂDINIȚA CU PROGRAM NORMAL NR. 1 CIȘMEA",340,RĂCHIŢI,35839,1,PART,PRCNCT,P,P_SV,"2024-06-10 06:10:06",522,517,0,4,1,305,300,0,4,1,293,12,605,300,187,94,6,6
7,BOTOŞANI,"ŞCOALA GIMNAZIALĂ ”PETRE ŞUŞTER”",341,RĂCHIŢI,35839,1,PART,PRCNCT,P,P_SV,"2024-06-10 08:55:01",1271,1253,0,8,10,736,718,0,8,10,716,20,1397,661,471,142,4,99
