precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"FODOR IMRE-UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi","BENKŐ ÁRPÁD-JENŐ-voturi"
15,COVASNA,"CĂMINUL CULTURAL ILIENI",153,ILIENI,64425,2,PART,PRCNCT,P,P_SV,"2024-06-13 12:28:08",905,876,4,4,21,647,623,0,4,20,634,13,933,286,264,370
15,COVASNA,"GRĂDINIŢA CU PROGRAM NORMAL SÂNCRAIU",155,ILIENI,64425,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:23:31",470,453,5,2,10,325,312,1,2,10,317,8,500,175,106,211
15,COVASNA,"ŞCOALA PRIMARĂ ”BODA-POPOVICI” DOBOLII DE JOS",154,ILIENI,64425,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:33:09",436,412,3,4,17,286,265,0,4,17,278,8,494,208,129,149
