precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PURCARU GHEORGHE-PARTIDUL NAȚIONAL LIBERAL-voturi","SPIRIDON NICOLETA-MARIA-PARTIDUL SOCIAL DEMOCRAT-voturi"
3,ARGEŞ,"CAMINUL CULTURAL DEDULESTI",397,MORĂREŞTI,17423,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:16:34",579,560,0,17,2,419,400,0,17,2,404,15,640,221,191,213
3,ARGEŞ,"ŞCOALA GENERALĂ CU CLASELE I-VIII MORĂREŞTI",396,MORĂREŞTI,17423,2,PART,PRCNCT,P,P_SV,"2024-06-10 07:44:14",821,807,2,10,2,601,589,0,10,2,579,19,900,302,329,250
