precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL SOCIAL DEMOCRAT-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","UNIUNEA SALVAȚI ROMÂNIA-voturi","PARTIDUL MIȘCAREA POPULARĂ-voturi","FORȚA DREPTEI-voturi"
2,ARAD,"CĂMINUL CULTURAL AGRIŞU MIC",295,HĂŞMAŞ,11236,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 02:02:20",172,153,0,15,4,133,114,0,15,4,126,6,162,30,25,37,50,9,4,1
2,ARAD,"CĂMINUL CULTURAL CLIT",297,HĂŞMAŞ,11236,3,PART,PRCNCT,CL,CL_SV,"2024-06-10 02:21:37",63,52,0,7,4,50,39,0,7,4,49,1,60,10,1,15,5,26,0,2
2,ARAD,"CĂMINUL CULTURAL COMĂNEŞTI",298,HĂŞMAŞ,11236,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 01:54:37",88,72,0,7,9,72,56,0,7,9,69,3,90,18,5,27,9,25,0,3
2,ARAD,"CĂMINUL CULTURAL HĂŞMAŞ",294,HĂŞMAŞ,11236,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 06:04:37",358,322,0,28,8,274,238,0,28,8,267,7,350,76,16,97,65,40,35,14
2,ARAD,"CĂMINUL CULTURAL URVIŞU DE BELIU",299,HĂŞMAŞ,11236,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 02:49:41",169,156,0,7,6,146,133,0,7,6,139,7,186,40,11,22,80,10,8,8
2,ARAD,"CENTRU DE ZI PENTRU PREVENIREA SEPARARII COPILULUI DE FAMILIA SA",296,HĂŞMAŞ,11236,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 03:15:15",199,180,0,15,4,169,150,0,15,4,156,12,200,32,11,44,54,27,14,6
