precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL SOCIAL DEMOCRAT-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi","DUMITRACHE MARICICA-voturi"
41,VRANCEA,"GRĂDINIŢA CU PROGRAM NORMAL RUCĂRENI",286,SOVEJA,177762,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 06:47:04",698,665,1,10,22,413,381,0,10,22,393,20,747,334,75,251,8,36,23
41,VRANCEA,"SCOALA GENERAL[ SIMION MEHEDINTI",285,SOVEJA,177762,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 10:25:09",1003,963,1,15,24,622,582,1,15,24,593,29,1072,450,125,361,24,45,38
