precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi","UNIUNEA SALVAȚI ROMÂNIA-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","PARTIDUL PRO ROMÂNIA-voturi","PARTIDUL S.O.S. ROMÂNIA-voturi","PARTIDUL REÎNNOIM PROIECTUL EUROPEAN AL ROMÂNIEI-voturi"
33,SĂLAJ,"CĂMINUL CULTURAL BOCȘIȚA",173,HERECLEAN,141376,1,PART,PRCNCT,CL,CL_SV,"2024-06-09 23:31:03",67,54,0,10,3,52,39,0,10,3,47,5,100,48,22,2,4,9,10,0,0,0
33,SĂLAJ,"CĂMINUL CULTURAL HERECLEAN",171,HERECLEAN,141376,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 02:47:16",516,495,1,8,12,348,328,0,8,12,339,9,558,210,51,20,18,87,136,3,2,22
33,SĂLAJ,"CĂMINUL CULTURAL PANIC",176,HERECLEAN,141376,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 03:50:12",885,853,2,3,27,608,578,0,3,27,588,20,950,342,395,7,3,25,148,3,4,3
33,SĂLAJ,"ŞCOALA GIMNAZIALĂ GURUSLĂU",175,HERECLEAN,141376,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 01:10:58",527,505,0,8,14,318,296,0,8,14,312,6,560,242,289,2,2,10,3,2,0,4
33,SĂLAJ,"ŞCOALA PRIMARĂ BADON",172,HERECLEAN,141376,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:21:27",651,629,2,10,10,399,378,1,10,10,389,10,700,301,36,13,60,168,62,27,18,5
33,SĂLAJ,"ȘCOALA PRIMARĂ DIOȘOD",174,HERECLEAN,141376,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 00:39:47",690,639,1,16,34,482,432,0,16,34,472,10,740,258,461,4,1,3,2,0,1,0
