precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","PARTIDUL MIȘCAREA POPULARĂ-voturi","DALMASSO CHARLES HENRI VINCENT LAURENT-voturi"
28,MUREŞ,"CĂMIN CULTURAL CLOAȘTERF",496,SASCHIZ,119206,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 02:00:51",150,145,0,5,0,76,71,0,5,0,68,8,160,84,21,29,11,2,5
28,MUREŞ,"CĂMIN CULTURAL MIHAI VITEAZU",497,SASCHIZ,119206,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 03:18:17",252,249,0,3,0,128,125,0,3,0,106,22,280,152,12,76,16,2,0
28,MUREŞ,"ȘCOALA GIMNAZIALĂ ”ION DACIAN”",495,SASCHIZ,119206,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:52:57",1385,1367,5,6,7,623,609,1,6,7,567,56,1486,863,90,265,144,37,31
