precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL SOCIAL DEMOCRAT-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","PARTIDUL ROMÂNIA ÎN ACȚIUNE-voturi","PARTIDUL MIȘCAREA POPULARĂ-voturi","PARTIDUL UMANIST SOCIAL LIBERAL-voturi"
31,PRAHOVA,"GRADINITA CU PROGRAM NORMAL FUNDENI",448,"GURA VITIOAREI",131835,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:16:28",478,466,0,10,2,305,293,0,10,2,293,12,515,210,73,25,180,5,5,5
31,PRAHOVA,"SCOALA GIMNAZIALA BUGHEA DE JOS",446,"GURA VITIOAREI",131835,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 08:56:06",855,847,0,5,3,535,527,0,5,3,512,23,933,398,97,36,353,15,6,5
31,PRAHOVA,"SCOALA GIMNAZIALA GURA VITIOAREI",445,"GURA VITIOAREI",131835,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:39:20",1652,1649,0,1,2,898,895,0,1,2,875,23,1831,933,254,90,465,34,10,22
31,PRAHOVA,"SCOALA GIMNAZIALA POIANA COPACENI",449,"GURA VITIOAREI",131835,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:03:28",849,844,0,5,0,491,486,0,5,0,470,21,928,437,91,43,311,15,6,4
31,PRAHOVA,"SCOALA PRIMARA FAGETU",447,"GURA VITIOAREI",131835,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:55:14",933,926,1,5,1,599,593,0,5,1,558,41,1027,428,98,37,373,37,6,7
