precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"UNIUNEA SALVAȚI ROMÂNIA-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","PARTIDUL S.O.S. ROMÂNIA-voturi","PARTIDUL MIȘCAREA POPULARĂ-voturi"
24,IAŞI,"SCOALA GIMNAZIALA SCHEIA",319,"ALEXANDRU I. CUZA",95612,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 08:16:29",1027,997,0,13,17,538,508,0,13,17,503,16,1095,576,4,15,98,358,23,5
24,IAŞI,"ȘCOALA PRIMARĂ AL. I. CUZA",318,"ALEXANDRU I. CUZA",95612,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:11:39",644,637,1,2,4,355,349,0,2,4,343,10,700,347,0,29,115,145,19,35
24,IAŞI,"SCOALA PRIMARA VOLINTIRESTI",320,"ALEXANDRU I. CUZA",95612,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 02:11:08",591,588,0,3,0,332,329,0,3,0,321,11,672,340,15,13,95,148,35,15
