precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"POŞTA COSMIN-IONUŢ-PARTIDUL SOCIAL DEMOCRAT-voturi","CORNEA DANIEL-NICOLAE-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PALTIN CRISTINEL-PARTIDUL NAȚIONAL LIBERAL-voturi","BUTUM SIMONA-MARIA-PARTIDUL VIITORUL ȚĂRII FĂGĂRAȘULUI-voturi"
8,BRAŞOV,"CĂMIN CULTURAL ŞERCAIA",416,ŞERCAIA,41818,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:15:33",1471,1427,7,8,29,764,725,2,8,29,718,42,1600,836,29,49,375,265
8,BRAŞOV,"CĂMIN CULTURAL VAD",418,ŞERCAIA,41818,4,PART,PRCNCT,P,P_SV,"2024-06-10 09:50:24",486,456,1,24,5,286,256,1,24,5,257,12,504,224,52,5,94,106
8,BRAŞOV,"ȘCOALA PRIMARĂ HĂLMEAG",417,ŞERCAIA,41818,1,PART,PRCNCT,P,P_SV,"2024-06-10 06:56:10",432,409,3,11,9,259,238,1,11,9,232,27,473,214,26,10,92,104
