precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"DRAGOMIR ION-PARTIDUL SOCIAL DEMOCRAT-voturi","NIŢĂ GEORGE-UNIUNEA SALVAȚI ROMÂNIA-voturi","NEGUŢ CLAUDIU-IONUŢ-PARTIDUL NAȚIONAL LIBERAL-voturi","NEACŞU VALENTIN-PARTIDUL MIȘCAREA POPULARĂ-voturi"
3,ARGEŞ,"ŞCOALA GIMNAZIALĂ ELENA DAVILA PERTICARI",355,IZVORU,16739,1,PART,PRCNCT,P,P_SV,"2024-06-10 02:42:34",867,862,0,5,0,563,558,0,5,0,548,15,941,378,126,30,340,52
3,ARGEŞ,"ŞCOALA GIMNAZIALĂ ELENA DAVILA PERTICARI",356,IZVORU,16739,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:04:16",858,843,0,13,2,562,547,0,13,2,547,15,942,380,91,52,333,71
