precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL SOCIAL DEMOCRAT-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi","ALIANȚA MAGHIARĂ DIN TRANSILVANIA - ERDÉLYI MAGYAR SZÖVETSÉG-voturi"
32,"SATU MARE","SCALA CU CLS.I-VIII BECHENI",287,SĂUCA,138805,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 03:49:17",431,413,0,5,13,296,278,0,5,13,251,45,430,134,28,158,41,24
32,"SATU MARE","SCOALA CU CLASELE I-VIII SAUCA",286,SĂUCA,138805,2,PART,PRCNCT,CL,CL_SV,"2024-06-12 00:32:56",330,315,0,10,5,238,223,0,10,5,222,16,320,82,123,72,26,1
32,"SATU MARE","SCOALA CU CLS.I-IV CEAN",288,SĂUCA,138805,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 01:12:20",234,226,1,5,2,156,148,1,5,2,152,4,231,75,78,63,10,1
32,"SATU MARE","SCOALA SILVAS",289,SĂUCA,138805,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 02:33:23",133,128,0,5,0,91,86,0,5,0,82,9,208,117,43,35,4,0
