precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","PARTIDUL PRO ROMÂNIA-voturi"
30,OLT,"COLEGIUL TEHNIC",76,"ORAŞ BALŞ",125418,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:44:21",1345,1325,0,16,4,574,554,0,16,4,525,29,1462,908,69,300,121,35
30,OLT,"COLEGIUL TEHNIC",77,"ORAŞ BALŞ",125418,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:50:58",1348,1327,1,17,3,595,575,0,17,3,568,24,1465,872,60,328,141,39
30,OLT,"GRADINITA CU PROGRAM NORMAL NR 1",75,"ORAŞ BALŞ",125418,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 03:44:33",1141,1115,1,22,3,479,455,0,22,2,442,37,1233,754,38,240,128,36
30,OLT,"GRADINITA CU PROGRAM NORMAL NR 1",74,"ORAŞ BALŞ",125418,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:09:51",1296,1278,1,15,2,595,578,0,15,2,565,30,1412,817,52,308,172,33
30,OLT,"LICEUL TEORETIC PETRE PANDREA",70,"ORAŞ BALŞ",125418,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 09:14:53",1369,1339,0,30,0,641,611,0,30,0,610,31,1486,845,51,337,195,27
30,OLT,"LICEUL TEORETIC PETRE PANDREA",71,"ORAŞ BALŞ",125418,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 08:32:01",1397,1369,0,26,2,677,649,0,26,2,641,36,1545,868,67,354,201,19
30,OLT,"SCOALA GIMNAZIALĂ ”MIHAIL DRUMES”",73,"ORAŞ BALŞ",125418,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 07:24:44",1253,1230,2,21,0,586,565,0,21,0,570,16,1397,811,55,309,177,29
30,OLT,"SCOALA GIMNAZIALĂ ”MIHAIL DRUMES”",72,"ORAŞ BALŞ",125418,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 07:12:56",1609,1589,2,16,2,776,758,0,16,2,752,23,1805,1029,62,436,210,44
30,OLT,"SCOALA GIMNAZIALA NR. 1 BALS",68,"ORAŞ BALŞ",125418,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 06:44:57",1241,1220,1,15,5,623,603,0,15,5,578,45,1346,723,58,333,168,19
30,OLT,"SCOALA GIMNAZIALĂ NR 2 VIRTINA",67,"ORAŞ BALŞ",125418,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:27:42",1171,1158,0,10,3,618,605,0,10,3,594,24,1283,665,73,330,172,19
30,OLT,"SCOALA GIMNAZIALĂ NR 3 ROMANA",66,"ORAŞ BALŞ",125418,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 09:25:55",904,889,0,8,7,491,476,0,8,7,469,22,979,488,45,328,86,10
30,OLT,"SCOALA GIMNAZIALA SPECIALA",69,"ORAŞ BALŞ",125418,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 07:12:39",1693,1675,4,12,2,755,741,0,12,2,678,77,1884,1129,54,437,169,18
30,OLT,"SCOALA GIMNAZIALA TEIS",78,"ORAŞ BALŞ",125418,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 04:02:05",653,639,0,13,1,383,369,0,13,1,366,17,706,323,34,247,71,14
