precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PÉTER DÁVID-UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi","BIRÓ ÉVA-voturi"
21,HARGHITA,"ŞCOALA GIMNAZIALĂ ”KISS FERENC”",179,MĂDĂRAŞ,86438,1,PROV,PRCNCT,P,P_SV,"2024-06-10 05:57:43",1025,1011,4,2,8,674,664,0,2,8,657,17,1090,416,426,231
21,HARGHITA,"ŞCOALA GIMNAZIALĂ ”KISS FERENC”",180,MĂDĂRAŞ,86438,1,PROV,PRCNCT,P,P_SV,"2024-06-10 05:40:11",797,784,0,0,13,515,502,0,0,13,508,7,900,385,316,192
