precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL SOCIAL DEMOCRAT-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL S.O.S. ROMÂNIA-voturi"
9,BRĂILA,"CASA DE CULTURĂ ”ION THEODORESCU SION”",146,"ORAŞ IANCA",43331,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 09:11:56",1156,1134,0,13,9,591,578,0,4,9,578,13,1270,679,318,206,33,21
9,BRĂILA,"LICEUL TEORETIC ”CONSTANTIN ANGELESCU”",147,"ORAŞ IANCA",43331,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 03:46:06",1049,1035,0,6,8,604,590,0,6,8,573,31,1155,551,274,249,28,22
9,BRĂILA,"LICEUL TEORETIC ”CONSTANTIN ANGELESCU”",148,"ORAŞ IANCA",43331,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:37:43",1062,1031,5,3,23,583,557,0,3,23,547,36,1140,557,295,196,38,18
9,BRĂILA,"ȘCOALA GIMNAZIALĂ IANCA",145,"ORAŞ IANCA",43331,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 03:06:35",1072,1065,0,7,0,596,589,0,7,0,586,10,1190,594,336,187,42,21
9,BRĂILA,"ȘCOALA GIMNAZIALĂ IANCA",144,"ORAŞ IANCA",43331,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 03:57:11",982,974,0,3,5,552,544,0,3,5,536,16,1080,528,331,159,32,14
9,BRĂILA,"ȘCOALA GIMNAZIALĂ PERIȘORU",151,"ORAŞ IANCA",43331,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 03:56:53",832,818,0,5,9,434,420,0,5,9,427,7,930,496,210,177,31,9
9,BRĂILA,"ȘCOALA GIMNAZIALĂ PLOPU",152,"ORAŞ IANCA",43331,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:55:08",1221,1205,2,10,4,736,722,0,10,4,715,21,1340,604,312,345,41,17
9,BRĂILA,"ȘCOALA PRIMARĂ BERLEȘTI",149,"ORAŞ IANCA",43331,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 02:26:23",248,238,1,8,1,154,145,0,8,1,150,4,265,111,67,67,11,5
9,BRĂILA,"ȘCOALA PRIMARĂ OPRIȘENEȘTI",150,"ORAŞ IANCA",43331,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 03:07:23",591,580,0,11,0,355,344,0,11,0,347,8,640,285,153,178,10,6
9,BRĂILA,"ȘCOALA PRIMARĂ TÎRLELE FILIU",153,"ORAŞ IANCA",43331,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 01:57:52",424,407,1,8,8,234,218,0,8,8,229,5,411,177,94,127,7,1
