precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"MIREA IONEL-PARTIDUL SOCIAL DEMOCRAT-voturi","CROITORU FLOREA-PARTIDUL NAȚIONAL LIBERAL-voturi","CHIRIŢĂ VASILE-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi"
30,OLT,"LICEUL TEHNOLOGIC CRÎMPOIA",164,CRÂMPOIA,126406,1,PART,PRCNCT,P,P_SV,"2024-06-10 02:48:09",1062,1038,0,4,20,620,601,0,4,15,601,19,1196,576,450,87,64
30,OLT,"LICEUL TEHNOLOGIC CRÎMPOIA",165,CRÂMPOIA,126406,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:29:06",1103,1086,0,1,16,628,611,0,1,16,609,19,1210,582,412,144,53
30,OLT,"SCOALA CU CLASELE I-IV BUTA",166,CRÂMPOIA,126406,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:14:59",631,598,0,12,21,389,356,0,12,21,382,7,682,293,321,24,37
