precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"NIRI ALEXANDRU-UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi","LELESCU DORIAN-CRISTIAN-PARTIDUL NAȚIONAL LIBERAL-voturi","PÁDÁR ORSOLYA-ALIANȚA MAGHIARĂ DIN TRANSILVANIA - ERDÉLYI MAGYAR SZÖVETSÉG-voturi"
5,BIHOR,"CĂMIN CULTURAL CHEȘEREU",327,CHERECHIU,28497,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:35:59",815,790,1,1,23,550,525,1,1,23,523,27,895,345,390,38,95
5,BIHOR,"CĂMIN CULTURAL - TÂRGUȘOR",328,CHERECHIU,28497,1,PART,PRCNCT,P,P_SV,"2024-06-10 06:56:57",257,242,0,3,12,257,242,0,3,12,240,17,489,232,166,14,60
5,BIHOR,"ȘCOALA GIMNAZIALĂ ”BOCSKAI ISTVAN”",326,CHERECHIU,28497,1,PART,PRCNCT,P,P_SV,"2024-06-10 02:50:07",583,562,1,3,17,367,347,0,3,17,356,11,640,273,300,4,52
