precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"JUGANU GEORGE-PARTIDUL SOCIAL DEMOCRAT-voturi","PÎRVAN FLORIN-STELIAN-PARTIDUL NAȚIONAL LIBERAL-voturi","ORODEL ION-PARTIDUL MIȘCAREA POPULARĂ-voturi"
36,TELEORMAN,"CĂMIN CULTURAL",147,CRÂNGENI,152617,1,PART,PRCNCT,P,P_SV,"2024-06-10 06:33:14",1113,1067,0,1,45,591,552,0,1,38,566,25,1179,588,162,315,89
36,TELEORMAN,"CLĂDIRE PRIMĂRIE FOSTA ŞCOALĂ CU CLASELE I-IV DOROBANŢU",149,CRÂNGENI,152617,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:36:54",197,192,0,4,1,118,113,0,4,1,112,6,200,82,25,75,12
36,TELEORMAN,"CLĂDIRE PRIMĂRIE FOSTA ŞCOALĂ CU CLASELE I-IV STEJARU",150,CRÂNGENI,152617,1,PROV,PRCNCT,P,P_SV,"2024-06-10 01:17:10",178,171,0,6,1,120,113,0,6,1,111,9,190,70,59,39,13
36,TELEORMAN,"GRĂDINIȚA CU PROGRAM NORMAL NR. 2",148,CRÂNGENI,152617,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:46:55",564,528,0,4,32,342,306,0,4,32,291,18,580,271,58,218,15
