precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"STANCU MARIUS-ALIN-PARTIDUL NAȚIONAL LIBERAL-voturi","VLAD DANIEL-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","NEICU DAN-PARTIDUL SOCIAL DEMOCRAT-voturi","ION IONUŢ-PARTIDUL UMANIST SOCIAL LIBERAL-voturi","STRÎMBIANU SORINA-voturi"
9,BRĂILA,"ŞCOALA CU CLASELE I-IV TATARU",184,DUDEŞTI,43073,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:30:43",430,417,0,10,3,279,266,0,10,3,270,9,544,265,140,43,78,5,4
9,BRĂILA,"ȘCOALA CU CLASELE V-VIII TĂTARU",183,DUDEŞTI,43073,1,PROV,PRCNCT,P,P_SV,"2024-06-10 11:58:38",1079,1054,0,5,20,703,678,0,5,20,690,13,1108,405,317,138,219,4,12
9,BRĂILA,"ȘCOALA GIMNAZIALĂ DUDEȘTI",182,DUDEŞTI,43073,1,PROV,PRCNCT,P,P_SV,"2024-06-10 07:25:11",1309,1283,0,3,23,800,774,0,3,23,738,27,1383,61,423,55,223,30,7
