precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","UNIUNEA SALVAȚI ROMÂNIA-voturi","UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","MOLOCEA MIHAI-IULIAN-voturi"
22,HUNEDOARA,"CASA DE CULTURĂ",128,"MUNICIPIUL ORĂŞTIE",87638,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:54:45",1537,1517,9,11,0,724,713,0,11,0,707,17,1700,976,92,69,8,389,86,63
22,HUNEDOARA,"CENTRUL REZIDENȚIAL PENTRU VÂRSTNICI ORĂȘTIE",132,"MUNICIPIUL ORĂŞTIE",87638,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 09:40:24",1512,1498,1,13,0,578,565,0,13,0,567,11,1600,1022,86,62,8,297,69,45
22,HUNEDOARA,"GRĂDINIŢA „CĂSUȚA CU POVEȘTI”",130,"MUNICIPIUL ORĂŞTIE",87638,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:39:34",1358,1331,3,10,14,566,542,0,10,14,532,34,1450,884,91,37,11,294,57,42
22,HUNEDOARA,"LICEUL TEHNOLOGIC „NICOLAUS OLAHUS”",136,"MUNICIPIUL ORĂŞTIE",87638,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 06:01:55",1326,1309,6,10,1,550,539,0,10,1,525,25,1500,950,77,44,11,299,51,43
22,HUNEDOARA,"LICEUL TEORETIC „AUREL VLAICU”",137,"MUNICIPIUL ORĂŞTIE",87638,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 06:24:31",1413,1397,7,8,1,639,629,1,8,1,601,38,1534,895,106,30,12,317,106,30
22,HUNEDOARA,"OFICIUL DE GOSPODĂRIRE A APELOR",135,"MUNICIPIUL ORĂŞTIE",87638,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 09:15:20",1532,1521,2,9,0,677,668,0,9,0,650,27,1600,923,79,77,7,372,84,31
22,HUNEDOARA,"PRIMĂRIA MUNICIPIULUI ORĂŞTIE",138,"MUNICIPIUL ORĂŞTIE",87638,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 03:37:22",1377,1365,4,8,0,594,586,0,8,0,575,19,1500,906,70,65,7,330,64,39
22,HUNEDOARA,"SALA DE SPORT A ŞCOLII GIMNAZIALE „DOMINIC STANCA”",129,"MUNICIPIUL ORĂŞTIE",87638,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 08:17:40",1461,1443,7,11,0,589,578,0,11,0,577,12,1700,1111,93,49,5,289,96,45
22,HUNEDOARA,"ŞCOALA CU CLASELE I-IV GARĂ",134,"MUNICIPIUL ORĂŞTIE",87638,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 06:08:09",1388,1381,0,6,1,552,545,0,6,1,522,30,1500,948,66,25,4,336,49,42
22,HUNEDOARA,"ŞCOALA GIMNAZIALĂ „DOMINIC STANCA”",131,"MUNICIPIUL ORĂŞTIE",87638,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:38:27",1355,1344,1,10,0,495,485,0,10,0,494,1,1500,1005,81,46,8,253,56,50
22,HUNEDOARA,"ŞCOALA GIMNAZIALĂ „DR. A. VLAD”",133,"MUNICIPIUL ORĂŞTIE",87638,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 09:19:02",1555,1520,4,5,26,687,661,4,5,17,669,13,1700,1017,84,77,9,353,101,45
22,HUNEDOARA,"SERVICIUL PUBLIC DE ASISTENŢĂ SOCIALĂ",139,"MUNICIPIUL ORĂŞTIE",87638,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 08:20:37",1579,1566,3,9,1,575,565,0,9,1,560,15,1750,1175,74,66,5,282,53,80
