precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"BARBU MIHĂIŢĂ-PARTIDUL SOCIAL DEMOCRAT-voturi","CRĂCIUN STELICĂ-PARTIDUL NAȚIONAL LIBERAL-voturi","MILEA GHERASE-PARTIDUL UMANIST SOCIAL LIBERAL-voturi","CIOARĂ MARIAN-ALIANȚA DREAPTA UNITĂ USR - PMP-voturi","FLOREA DANIELA-PARTIDUL VOLT ROMANIA-voturi","BUZEA MARIAN-SORIN-FORȚA DREPTEI-voturi"
23,IALOMIŢA,"CĂMIN CULTURAL MIHAIL KOGĂLNICEANU",172,"MIHAIL KOGĂLNICEANU",93995,4,PART,PRCNCT,P,P_SV,"2024-06-13 14:19:57",1354,1320,3,11,20,887,855,1,11,20,873,14,1516,629,399,82,48,30,270,44
23,IALOMIŢA,"ȘCOALA GIMNAZIALĂ MIHAIL KOGĂLNICEANU",173,"MIHAIL KOGĂLNICEANU",93995,2,PART,PRCNCT,P,P_SV,"2024-06-13 13:05:16",1233,1198,1,8,26,802,767,1,8,26,779,23,1350,548,373,68,48,34,211,45
