precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"IACOB PETRE-PARTIDUL SOCIAL DEMOCRAT-voturi","MITRAN CONSTANTIN-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","TOADER BOGDAN-PARTIDUL REÎNNOIM PROIECTUL EUROPEAN AL ROMÂNIEI-voturi","CHIRIŢĂ RĂZVAN-MIREL-PARTIDUL OAMENILOR TINERI-voturi","NISTOR ANDREI-ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi","MOLDOVAN CIPRIAN-ADRIAN-voturi"
25,ILFOV,"DIRECȚIA DE IMPOZITE ȘI TAXE POPEȘTI-LEORDENI",80,"ORAŞ POPEŞTI-LEORDENI",179533,1,PART,PRCNCT,P,P_SV,"2024-06-10 07:27:14",1760,1661,21,78,0,953,875,0,78,0,864,8,1800,928,235,130,35,18,394,52
25,ILFOV,"DIRECȚIA DE IMPOZITE ȘI TAXE POPEȘTI-LEORDENI",81,"ORAŞ POPEŞTI-LEORDENI",179533,1,PART,PRCNCT,P,P_SV,"2024-06-10 08:28:16",1252,1175,12,65,0,630,565,0,65,0,621,9,1300,670,181,78,30,18,279,35
25,ILFOV,"FUNDATIA LEONARDO MURIALDO",89,"ORAŞ POPEŞTI-LEORDENI",179533,2,PART,PRCNCT,P,P_SV,"2024-06-10 09:07:23",1932,1899,12,21,0,890,869,0,21,0,879,11,2050,1160,350,72,49,21,342,45
25,ILFOV,"FUNDAŢIA LEONARDO MURIALDO",88,"ORAŞ POPEŞTI-LEORDENI",179533,2,PART,PRCNCT,P,P_SV,"2024-06-10 10:22:44",1911,1871,11,29,0,843,814,0,29,0,822,21,2000,1157,247,112,60,16,351,36
25,ILFOV,"FUNDAŢIA LEONARDO MURIALDO",87,"ORAŞ POPEŞTI-LEORDENI",179533,2,PART,PRCNCT,P,P_SV,"2024-06-10 22:52:54",2013,1961,9,43,0,1002,959,0,43,0,990,12,2200,1193,363,130,86,11,363,37
25,ILFOV,"FUNDATIA LEORNARDO MURIALDO",90,"ORAŞ POPEŞTI-LEORDENI",179533,2,PART,PRCNCT,P,P_SV,"2024-06-10 22:43:26",1860,1830,9,21,0,874,853,0,21,0,860,14,2000,1126,279,141,51,27,319,43
25,ILFOV,"GRĂDINIȚA NR.4",103,"ORAŞ POPEŞTI-LEORDENI",179533,1,PART,PRCNCT,P,P_SV,"2024-06-10 07:50:36",1219,1179,17,23,0,581,558,0,23,0,573,8,1304,723,207,48,44,9,244,21
25,ILFOV,"GRĂDINIȚA NR.4",104,"ORAŞ POPEŞTI-LEORDENI",179533,2,PART,PRCNCT,P,P_SV,"2024-06-11 01:36:23",1027,993,4,30,0,582,552,0,30,0,543,12,1105,537,174,131,19,15,163,41
25,ILFOV,"GRĂDINIȚA NR.5",83,"ORAŞ POPEŞTI-LEORDENI",179533,2,PART,PRCNCT,P,P_SV,"2024-06-10 12:11:33",2517,1751,17,749,0,794,763,0,31,0,782,12,1900,1106,260,54,60,28,344,36
25,ILFOV,"GRĂDINIȚA NR.5",82,"ORAŞ POPEŞTI-LEORDENI",179533,1,PART,PRCNCT,P,P_SV,"2024-06-10 06:11:02",1816,1776,4,36,0,888,852,0,36,0,877,11,2000,1112,323,136,40,20,304,54
25,ILFOV,"LICEUL TEORETIC RADU POPESCU",96,"ORAŞ POPEŞTI-LEORDENI",179533,2,PART,PRCNCT,P,P_SV,"2024-06-10 20:44:33",1885,1802,5,67,11,1299,1221,0,67,11,1276,23,2000,701,836,302,10,11,105,12
25,ILFOV,"LICEUL TEORETIC RADU POPESCU",95,"ORAŞ POPEŞTI-LEORDENI",179533,2,PART,PRCNCT,P,P_SV,"2024-06-11 01:58:04",1885,1814,1,51,19,1366,1296,0,51,19,1313,26,2100,761,756,426,14,9,96,12
25,ILFOV,"LICEUL TEORETIC RADU POPESCU CORP E",97,"ORAŞ POPEŞTI-LEORDENI",179533,2,PART,PRCNCT,P,P_SV,"2024-06-13 13:11:22",1836,1797,2,37,0,1166,1129,0,37,0,1149,17,1984,818,580,414,12,5,118,20
25,ILFOV,"PROPRIETATE PRIVATĂ PUȘA HACK",102,"ORAŞ POPEŞTI-LEORDENI",179533,2,PART,PRCNCT,P,P_SV,"2024-06-11 01:08:36",1551,1524,10,17,0,720,703,0,17,0,715,5,1696,976,305,133,24,30,185,38
25,ILFOV,"SC IRIMPEX COM SRL",101,"ORAŞ POPEŞTI-LEORDENI",179533,2,PART,PRCNCT,P,P_SV,"2024-06-10 09:52:13",483,464,1,18,0,356,338,0,18,0,352,3,500,145,264,59,4,1,21,3
25,ILFOV,"SC IRIMPEX COM SRL",100,"ORAŞ POPEŞTI-LEORDENI",179533,1,PART,PRCNCT,P,P_SV,"2024-06-10 07:06:10",1695,1674,1,14,6,1223,1203,0,14,6,1189,14,1800,597,1036,117,4,6,25,1
25,ILFOV,"ŞCOALA GIMNAZIALĂ IOAN BĂDESCU",91,"ORAŞ POPEŞTI-LEORDENI",179533,2,PART,PRCNCT,P,P_SV,"2024-06-13 13:30:38",1945,1840,3,88,14,1302,1200,0,88,14,1268,28,2000,698,648,347,20,15,215,23
25,ILFOV,"ŞCOALA GIMNAZIALĂ IOAN BĂDESCU",94,"ORAŞ POPEŞTI-LEORDENI",179533,2,PART,PRCNCT,P,P_SV,"2024-06-10 10:42:02",1158,1124,9,23,2,616,591,0,23,2,602,14,1200,584,269,163,19,12,128,11
25,ILFOV,"ŞCOALA GIMNAZIALĂ IOAN BĂDESCU",93,"ORAŞ POPEŞTI-LEORDENI",179533,1,PART,PRCNCT,P,P_SV,"2024-06-10 11:49:52",1893,1834,7,49,3,1242,1189,1,49,3,1227,15,2000,758,740,287,21,11,159,9
25,ILFOV,"ŞCOALA GIMNAZIALĂ IOAN BĂDESCU",92,"ORAŞ POPEŞTI-LEORDENI",179533,2,PART,PRCNCT,P,P_SV,"2024-06-10 11:13:50",1458,1402,3,44,9,1085,1032,0,44,9,1061,24,1600,495,487,395,19,5,134,21
25,ILFOV,"ŞCOALA GIMNAZIALĂ NR. 3",99,"ORAŞ POPEŞTI-LEORDENI",179533,1,PART,PRCNCT,P,P_SV,"2024-06-10 22:43:26",1638,1590,5,37,6,1134,1091,0,37,6,1081,53,1700,566,797,186,10,25,55,8
25,ILFOV,"ŞCOALA GIMNAZIALĂ NR. 3",98,"ORAŞ POPEŞTI-LEORDENI",179533,1,PART,PRCNCT,P,P_SV,"2024-06-10 11:32:22",1894,1824,13,45,12,1328,1270,1,45,12,1302,26,2000,672,797,328,11,11,132,23
25,ILFOV,"SC RAFFAELLO SHOES FACTORY SRL",84,"ORAŞ POPEŞTI-LEORDENI",179533,1,PART,PRCNCT,P,P_SV,"2024-06-10 07:17:27",1195,1174,7,14,0,525,510,1,14,0,511,14,1300,775,175,64,57,9,183,23
