precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL SOCIAL DEMOCRAT-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi","ASOCIAȚIA PARTIDA ROMILOR ""PRO-EUROPA""-voturi"
16,DÂMBOVIŢA,"CĂMINUL CULTURAL MOGOŞEŞTI",242,DRAGOMIREŞTI,67407,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 03:31:23",475,472,0,3,0,292,289,0,3,0,281,11,520,228,213,13,36,18,1
16,DÂMBOVIŢA,"GRĂDINIŢA GEANGOEŞTI-DRAGOMIREŞTI",241,DRAGOMIREŞTI,67407,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 02:05:11",288,281,0,7,0,150,143,0,7,0,144,6,310,160,86,13,31,14,0
16,DÂMBOVIŢA,"ŞCOALA GIMNAZIALĂ DECINDENI –DRAGOMIREŞTI",239,DRAGOMIREŞTI,67407,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 06:05:42",1033,1027,1,5,0,649,643,1,5,0,623,26,1130,481,485,44,64,27,3
16,DÂMBOVIŢA,"ŞCOALA GIMNAZIALĂ DECINDENI-DRAGOMIREŞTI",240,DRAGOMIREŞTI,67407,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 06:26:02",1058,1056,0,2,0,638,636,0,2,0,622,16,1160,522,494,47,64,15,2
16,DÂMBOVIŢA,"ŞCOALA GIMNAZIALĂ DRAGOMIREŞTI",238,DRAGOMIREŞTI,67407,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:20:37",1796,1787,5,4,0,951,947,0,4,0,917,34,1959,1008,595,143,129,42,8
16,DÂMBOVIŢA,"ŞCOALA GIMNAZIALĂ RȊNCĂCIOV-DRAGOMIREŞTI",244,DRAGOMIREŞTI,67407,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 03:30:20",762,757,1,4,0,380,375,1,4,0,365,15,830,450,250,40,31,43,1
16,DÂMBOVIŢA,"ŞCOALA GIMNAZIALĂ RȊNCĂCIOV-DRAGOMIREŞTI",243,DRAGOMIREŞTI,67407,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 02:27:40",852,849,0,3,0,434,431,0,3,0,418,16,940,506,289,33,37,53,6
16,DÂMBOVIŢA,"ŞCOALA GIMNAZIALĂ UNGURENI-DRAGOMIREŞTI",245,DRAGOMIREŞTI,67407,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 03:35:10",1088,1083,0,5,0,484,479,0,5,0,461,23,1190,706,289,33,68,30,41
