precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"TURCEA IONEL-PARTIDUL NAȚIONAL LIBERAL-voturi","COHÂLTIR ROXANA-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","ZAHARIA VASILE-PARTIDUL SOCIAL DEMOCRAT-voturi","VINCA DORU-ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi"
4,BACĂU,"BIBLIOTECA ORĂŞENEASCĂ ”GEORGE BACOVIA”",184,"ORAŞ BUHUŞI",20778,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:12:12",1669,1667,0,0,2,530,528,0,0,2,512,18,1800,1270,129,49,261,73
4,BACĂU,"CASA DE CULTURĂ ”ELISABETA BOSTAN”",182,"ORAŞ BUHUŞI",20778,1,PROV,PRCNCT,P,P_SV,"2024-06-10 06:55:45",1474,1466,2,4,2,589,583,0,4,2,551,38,1600,1011,163,94,229,65
4,BACĂU,"COMPLEXUL DE SERVICII COMUNITARE ȘI CENTRUL DE CONSILIERE, INFORMARE ȘI SPRIJIN",186,"ORAŞ BUHUŞI",20778,1,PROV,PRCNCT,P,P_SV,"2024-06-10 03:44:31",1805,1799,1,5,0,472,467,0,5,0,456,11,2000,1531,145,58,182,71
4,BACĂU,"LICEUL TEORETIC ”ION BORCEA”",181,"ORAŞ BUHUŞI",20778,1,PROV,PRCNCT,P,P_SV,"2024-06-10 06:41:41",1234,1215,0,4,15,387,370,0,4,13,365,20,1400,1013,98,40,173,54
4,BACĂU,"LICEUL TEORETIC ”ION BORCEA”",180,"ORAŞ BUHUŞI",20778,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:43:26",1368,1362,2,3,1,473,469,0,3,1,445,28,1500,1027,140,53,200,52
4,BACĂU,"LICEUL TEORETIC ”ION BORCEA” BUHUȘI CORP B",188,"ORAŞ BUHUŞI",20778,1,PART,PRCNCT,P,P_SV,"2024-06-10 06:32:47",1612,1605,0,7,0,554,547,0,7,0,503,51,1800,1246,181,49,221,52
4,BACĂU,"PRIMĂRIA ORAŞ BUHUŞI",179,"ORAŞ BUHUŞI",20778,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:16:08",1619,1611,1,3,4,497,489,1,3,4,468,29,1800,1303,108,60,241,59
4,BACĂU,"SALA SPORT POLIVALENTĂ",189,"ORAŞ BUHUŞI",20778,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:59:02",1697,1667,26,2,2,502,498,0,2,2,480,22,1800,1298,124,55,218,83
4,BACĂU,"ŞCOALA GIMNAZIALĂ BUHUȘI",190,"ORAŞ BUHUŞI",20778,1,PROV,PRCNCT,P,P_SV,"2024-06-10 04:58:14",1265,1260,0,5,0,412,407,0,5,0,355,57,1400,988,121,38,164,32
4,BACĂU,"ŞCOALA GIMNAZIALĂ ”MIHAI EMINESCU”",183,"ORAŞ BUHUŞI",20778,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:55:06",1498,1490,1,6,1,538,531,0,6,1,525,13,1600,1062,129,55,276,65
4,BACĂU,"ŞCOALA GIMNAZIALĂ NR. 2 BUHUȘI",185,"ORAŞ BUHUŞI",20778,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:46:02",1719,1713,0,6,0,455,449,0,6,0,430,25,1900,1445,115,37,222,56
4,BACĂU,"ŞCOALA GIMNAZIALĂ ŞTEFAN CEL MARE",187,"ORAŞ BUHUŞI",20778,1,PROV,PRCNCT,P,P_SV,"2024-06-10 02:48:29",1539,1534,0,5,0,422,417,0,5,0,365,57,1700,1278,117,50,148,50
