precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"SZÁNTÓ LÁSZLÓ-UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi"
21,HARGHITA,"COMUNA COZMENI",126,COZMENI,86446,1,PART,PRCNCT,P,P_SV,"2024-06-10 02:25:39",458,456,1,0,1,229,228,0,0,1,217,12,500,271,217
21,HARGHITA,"COMUNA COZMENI",125,COZMENI,86446,1,PROV,PRCNCT,P,P_SV,"2024-06-10 03:09:53",1183,1165,3,7,8,588,572,1,7,8,536,52,1300,712,536
