precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","UNIUNEA SALVAȚI ROMÂNIA-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","PARTIDUL PATRIOȚII POPORULUI ROMÂN-voturi","ALIANȚA MAGHIARĂ DIN TRANSILVANIA - ERDÉLYI MAGYAR SZÖVETSÉG-voturi","PARTIDUL UMANIST SOCIAL LIBERAL-voturi"
5,BIHOR,"BLOCURILE ANL",145,"MUNICIPIUL ORADEA",26564,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 03:41:11",1785,1779,0,5,1,899,893,0,5,1,878,21,1942,1043,52,78,25,53,653,13,4,0
5,BIHOR,"CENTRUL DE ÎNGRIJIRE DE ZI",98,"MUNICIPIUL ORADEA",26564,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 02:28:47",1086,1071,5,10,0,442,432,0,10,0,434,8,1217,775,87,50,13,26,241,5,11,1
5,BIHOR,"CENTRUL DE ÎNGRIJIRE DE ZI",97,"MUNICIPIUL ORADEA",26564,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:58:16",1241,1223,7,9,2,521,510,0,9,2,509,12,1347,826,82,59,21,32,281,4,24,6
5,BIHOR,"CENTRU ŞCOLAR PENTRU EDUCAŢIE INCLUZIVĂ ”ORIZONT”",99,"MUNICIPIUL ORADEA",26564,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:48:31",1277,1268,3,6,0,461,455,0,6,0,455,6,1393,932,94,66,6,36,232,7,10,4
5,BIHOR,"COLEGIUL ECONOMIC ” PARTENIE COSMA ”",1,"MUNICIPIUL ORADEA",26564,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:50:28",1675,1542,93,39,1,742,702,0,39,1,732,10,1665,923,82,50,28,30,527,5,6,4
5,BIHOR,"COLEGIUL NAŢIONAL ”EMANUIL GOJDU”",125,"MUNICIPIUL ORADEA",26564,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 01:22:14",782,739,37,6,0,303,297,0,6,0,294,9,805,502,75,32,25,7,134,7,10,4
5,BIHOR,"COLEGIUL NAŢIONAL ”EMANUIL GOJDU”",126,"MUNICIPIUL ORADEA",26564,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 01:17:35",718,699,8,11,0,317,306,0,11,0,315,2,766,449,60,44,22,17,165,2,5,0
5,BIHOR,"COLEGIUL NAŢIONAL ”IOSIF VULCAN”",131,"MUNICIPIUL ORADEA",26564,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 03:43:16",943,890,31,21,1,323,301,0,21,1,317,6,967,644,88,43,19,17,124,4,21,1
5,BIHOR,"COLEGIUL NAŢIONAL ”IOSIF VULCAN”",130,"MUNICIPIUL ORADEA",26564,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:07:53",750,740,6,4,0,313,309,0,4,0,308,5,810,497,75,22,25,6,149,5,26,0
5,BIHOR,"COLEGIUL NAȚIONAL ”IOSIF VULCAN”",135,"MUNICIPIUL ORADEA",26564,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 07:35:30",1096,1061,26,9,0,469,460,0,9,0,450,19,1158,689,45,59,19,27,284,7,7,2
5,BIHOR,"COLEGIUL NAȚIONAL ”IOSIF VULCAN”",133,"MUNICIPIUL ORADEA",26564,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 06:02:27",1243,1227,8,8,0,589,581,0,8,0,582,7,1384,795,58,70,33,42,365,2,8,4
5,BIHOR,"COLEGIUL NAȚIONAL ”IOSIF VULCAN”",134,"MUNICIPIUL ORADEA",26564,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:41:04",1010,1002,5,3,0,436,433,0,3,0,426,10,1138,702,40,51,9,21,296,4,2,3
5,BIHOR,"COLEGIUL NAȚIONAL ”IOSIF VULCAN”",132,"MUNICIPIUL ORADEA",26564,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:44:39",1754,1725,18,10,1,735,724,0,10,1,725,10,1885,1150,98,94,25,33,459,0,13,3
5,BIHOR,"COLEGIUL NAŢIONAL ”MIHAI EMINESCU”",121,"MUNICIPIUL ORADEA",26564,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:53:34",1057,1036,8,12,1,435,425,0,9,1,431,4,1215,780,113,37,29,28,194,3,24,3
5,BIHOR,"COLEGIUL NAȚIONAL ”ONISIFOR GHIBU”",25,"MUNICIPIUL ORADEA",26564,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 03:41:09",1615,1601,6,8,0,614,606,0,8,0,599,15,1819,1205,80,79,17,35,376,3,8,1
5,BIHOR,"COLEGIUL NAȚIONAL ”ONISIFOR GHIBU”",24,"MUNICIPIUL ORADEA",26564,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 02:46:03",1330,1321,1,7,1,539,531,0,7,1,536,3,1453,914,66,63,0,32,360,6,7,2
5,BIHOR,"COLEGIUL NAȚIONAL ”ONISIFOR GHIBU”",27,"MUNICIPIUL ORADEA",26564,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:12:58",1345,1325,7,12,1,554,541,0,12,1,539,15,1504,950,66,81,29,28,318,1,10,6
5,BIHOR,"COLEGIUL NAȚIONAL ”ONISIFOR GHIBU”",26,"MUNICIPIUL ORADEA",26564,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:39:49",1419,1394,4,21,0,558,537,0,21,0,547,11,1629,1071,41,51,16,41,387,2,6,3
5,BIHOR,"COLEGIUL NAȚIONAL ”ONISIFOR GHIBU”",23,"MUNICIPIUL ORADEA",26564,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 07:02:20",1621,1555,37,11,18,700,672,0,11,17,696,4,1763,1063,71,75,40,21,478,2,7,2
