precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"STOICA NICOLAE-PARTIDUL SOCIAL DEMOCRAT-voturi","BREZEANU GABRIEL-PARTIDUL NAȚIONAL LIBERAL-voturi"
16,DÂMBOVIŢA,"CĂMIN CULTURAL SULTANU",420,VIŞINEŞTI,69394,1,PART,PRCNCT,P,P_SV,"2024-06-10 00:33:14",229,224,0,4,1,133,128,0,4,1,130,3,250,117,115,15
16,DÂMBOVIŢA,"CĂMINUL CULTURAL VIȘINEȘTI",419,VIŞINEŞTI,69394,1,PART,PRCNCT,P,P_SV,"2024-06-10 01:44:45",712,692,0,4,16,415,395,0,4,16,395,20,775,360,338,57
16,DÂMBOVIŢA,"ȘCOALA URSEIU",421,VIŞINEŞTI,69394,1,PART,PRCNCT,P,P_SV,"2024-06-10 00:27:10",483,470,0,3,10,296,283,0,3,10,288,8,530,234,268,20
