precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"DUDAŞ GHEORGHE-PARTIDUL NAȚIONAL LIBERAL-voturi","ROMAN ADRIAN-PARTIDUL SOCIAL DEMOCRAT-voturi"
2,ARAD,"PRIMĂRIA COMUNEI ZĂRAND",433,ZĂRAND,12812,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:41:46",1271,1192,0,16,63,785,708,0,16,61,756,29,1323,528,418,338
2,ARAD,"ŞCOALA GIMNAZIALĂ CINTEI",434,ZĂRAND,12812,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:40:02",1015,974,1,3,37,758,718,0,3,37,678,19,1064,367,629,49
