precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"BOKOR BOTOND-UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi","KOVÁCS MELINDA-voturi"
21,HARGHITA,"ŞCOALA GIMNAZIALĂ MARTON ARON BRĂDEŞTI",99,BRĂDEŞTI,83151,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:26:33",1113,1100,2,9,2,746,739,0,5,2,734,12,1180,434,548,186
21,HARGHITA,"SCOALA PRIMARA TIRNOVITA",100,BRĂDEŞTI,83151,1,PART,PRCNCT,P,P_SV,"2024-06-10 02:47:54",619,616,1,2,0,380,378,0,2,0,368,12,700,320,305,63
