precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL SOCIAL DEMOCRAT-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi","UNIUNEA UCRAINENILOR DIN ROMÂNIA-voturi","FORȚA DREPTEI-voturi"
32,"SATU MARE","CĂMINUL CULTURAL BOCICĂU",303,"TARNA MARE",139009,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:20:47",496,474,0,8,14,231,209,0,8,14,213,18,500,269,147,41,3,2,5,15
32,"SATU MARE","PRIMARIA TARNA MARE",302,"TARNA MARE",139009,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 12:11:47",1686,1653,3,6,24,791,759,2,6,24,740,51,1835,1044,375,123,67,83,30,62
32,"SATU MARE","ȘCOALA GIMNAZIALĂ VALEA SEACĂ",304,"TARNA MARE",139009,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 02:40:27",942,932,1,5,4,364,355,0,5,4,351,13,1100,736,209,102,21,3,10,6
