precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"ISTVÁN ADRIÁN-UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi"
21,HARGHITA,"ȘCOALA GENERALÂ DÂRJIU JÁNOS ZSIGMOND",129,DÂRJIU,84380,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:10:43",523,522,1,0,0,246,246,0,0,0,230,16,580,334,230
21,HARGHITA,"ȘCOALA GENERALĂ DIN MUJNA",130,DÂRJIU,84380,1,PART,PRCNCT,P,P_SV,"2024-06-10 01:49:01",291,284,1,6,0,142,136,0,6,0,137,5,300,158,137
