precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"GOILĂ DANIEL-PARTIDUL SOCIAL DEMOCRAT-voturi","TOADER ADRIAN-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","BÂRLEZ VICTOR-PARTIDUL NAȚIONAL LIBERAL-voturi","MUNTEAN IOAN-CLAUDIU-ASOCIAȚIA PARTIDA ROMILOR ""PRO-EUROPA""-voturi","BĂLAN GABRIELA-PARTIDUL ALTERNATIVA PENTRU DEMNITATE NATIONALĂ-voturi","BERENGHI CĂTĂLIN-IOAN-PARTIDUL DACISMULUI AUTONOM CONSERVATOR-voturi"
8,BRAŞOV,"CĂMINUL CULTURAL",423,ŞINCA,41854,1,PROV,PRCNCT,P,P_SV,"2024-06-10 05:15:16",574,571,0,2,1,373,370,0,2,1,342,26,600,231,101,4,68,156,6,7
8,BRAŞOV,"CĂMINUL CULTURAL",421,ŞINCA,41854,1,PROV,PRCNCT,P,P_SV,"2024-06-10 01:17:31",270,264,1,5,0,150,145,0,5,0,143,7,300,150,61,2,42,30,7,1
8,BRAŞOV,"CĂMINUL CULTURAL",420,ŞINCA,41854,1,PART,PRCNCT,P,P_SV,"2024-06-10 02:14:31",239,234,0,5,0,136,131,0,5,0,130,6,300,164,40,9,44,20,3,14
8,BRAŞOV,"CĂMINUL CULTURAL",422,ŞINCA,41854,1,PROV,PRCNCT,P,P_SV,"2024-06-10 04:35:00",932,929,1,2,0,484,482,0,2,0,452,32,1000,516,24,51,265,82,22,8
8,BRAŞOV,PRIMĂRIE,419,ŞINCA,41854,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:03:53",725,717,1,7,0,434,427,0,7,0,417,17,800,366,249,14,83,10,52,9
8,BRAŞOV,"ȘCOALĂ GENERALĂ",424,ŞINCA,41854,1,PART,PRCNCT,P,P_SV,"2024-06-10 01:26:00",190,184,0,6,0,128,122,0,6,0,122,6,218,90,56,2,23,32,8,1
