precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL NAȚIONAL LIBERAL-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi","PARTIDUL UMANIST SOCIAL LIBERAL-voturi","PARTIDUL S.O.S. ROMÂNIA-voturi"
41,VRANCEA,"AGENŢIA JUDEŢEANĂ PENTRU PLĂŢI ŞI INSPECŢIE SOCIALĂ",33,"MUNICIPIUL FOCŞANI",174744,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 11:54:16",1393,1384,0,9,0,541,532,0,9,0,516,25,1528,987,153,205,49,76,13,20
41,VRANCEA,"AȘEZĂMÂNT CULTURAL",344,VINTILEASCA,178475,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 02:25:05",627,591,0,21,15,383,347,0,21,15,362,21,650,267,69,268,13,7,1,4
41,VRANCEA,"ATENEUL POPULAR „MAIOR GHEORGHE PASTIA” FOCȘANI",3,"MUNICIPIUL FOCŞANI",174744,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 06:49:12",637,623,0,14,0,637,623,0,14,0,605,30,1540,903,219,224,55,69,15,23
41,VRANCEA,"BIBLIOTECA ORĂȘENEASCĂ ”ANA GEORGESCU”",85,"ORAŞ ODOBEŞTI",175019,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 03:03:18",1453,1437,4,4,8,758,746,0,4,8,735,23,1617,859,165,434,56,49,11,20
41,VRANCEA,"CAMIN CULTURAL",119,BROŞTENI,175466,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 15:50:04",1371,1358,3,6,4,806,795,1,6,4,753,53,1495,689,324,316,60,27,10,16
41,VRANCEA,"CAMIN CULTURAL",291,STRĂOANE,177799,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 05:37:22",771,766,0,4,1,426,421,0,4,1,416,10,841,415,57,214,79,50,5,11
41,VRANCEA,"CĂMIN CULTURAL",128,CÂRLIGELE,175732,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 04:31:57",1139,1108,0,6,25,574,543,0,6,25,551,23,1217,636,82,402,33,16,3,15
41,VRANCEA,"CĂMIN CULTURAL",107,BILIEŞTI,178929,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 17:35:20",1071,1047,1,17,6,623,600,0,17,6,585,38,1157,534,322,189,25,28,1,20
41,VRANCEA,"CĂMIN CULTURAL",106,BILIEŞTI,178929,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 20:22:19",1025,994,2,22,7,592,563,0,22,7,534,29,1108,516,290,193,0,37,4,10
41,VRANCEA,"CAMIN CULTURAL CALIENII-VECHI",224,NĂNEŞTI,176855,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 06:17:53",544,507,0,7,30,269,232,0,7,30,252,17,554,285,64,147,8,28,0,5
41,VRANCEA,"CAMIN CULTURAL CIORASTI",136,CIORĂŞTI,175590,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 07:27:57",655,647,0,1,7,327,319,0,1,7,294,31,714,389,209,47,22,3,5,8
41,VRANCEA,"CAMIN CULTURAL DUMBRAVENI",152,DUMBRĂVENI,175938,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 06:52:41",1662,1641,1,8,12,925,905,0,8,12,867,58,1814,889,284,469,64,21,4,25
41,VRANCEA,"CĂMIN CULTURAL FARAOANELE",333,VÂRTEŞCOIU,178689,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 05:12:57",992,974,0,6,12,559,541,0,6,12,525,34,1071,512,47,430,15,10,4,19
41,VRANCEA,"CĂMIN CULTURAL GOLEŞTI",176,GOLEŞTI,174824,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 06:18:38",1631,1618,1,2,10,771,761,0,2,8,750,21,1785,1014,140,382,93,86,12,37
41,VRANCEA,"CAMIN CULTURAL NANESTI",222,NĂNEŞTI,176855,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 08:12:55",1034,978,0,6,50,571,515,0,6,50,550,21,1077,506,296,173,23,44,5,9
41,VRANCEA,"CĂMIN CULTURAL NEICU",99,"ORAŞ PANCIU",175055,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 05:37:41",504,498,0,6,0,248,242,0,6,0,231,17,553,305,60,99,36,23,2,11
41,VRANCEA,"CAMIN CULTURAL PĂULEȘTI",236,PĂULEŞTI,178910,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 05:14:39",583,570,0,2,11,377,364,0,2,11,344,33,640,263,109,181,9,42,0,3
41,VRANCEA,"CAMIN CULTURAL PAUNESTI",242,PĂUNEŞTI,177236,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 03:51:56",1079,1073,0,6,0,470,464,0,6,0,428,42,1169,699,209,72,46,34,60,7
41,VRANCEA,"CAMIN CULTURAL POIANA CRISTEI, PRIMARIA COMUNEI POIANA CRISTEI",247,"POIANA CRISTEI",177263,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 09:02:39",970,934,0,10,26,639,603,0,10,26,556,83,1024,385,91,297,49,98,6,15
41,VRANCEA,"CAMIN CULTURAL PRAHUDA",235,PALTIN,177101,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 05:55:05",428,419,0,1,8,262,253,0,1,8,252,10,458,196,80,154,10,1,1,6
41,VRANCEA,"CAMIN CULTURAL(SALA FESTIVITATI)",105,BÂRSEŞTI,175224,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 08:45:50",1145,1056,0,42,47,786,697,0,42,47,761,25,1216,430,363,334,37,14,2,11
41,VRANCEA,"CĂMIN CULTURAL SAT SPINEȘTI",357,VRÂNCIOAIA,178750,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 07:18:48",624,595,0,4,25,337,308,0,4,25,320,17,656,318,42,255,7,9,3,4
41,VRANCEA,"CĂMIN CULTURAL TĂTĂRANU",300,TĂTĂRANU,177986,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 04:35:33",1150,1106,0,9,35,558,514,0,9,35,527,31,1219,661,97,356,23,42,0,9
41,VRANCEA,"CĂMIN CULTURAL VERDEA",262,RĂCOASA,177405,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 04:58:34",556,540,1,3,12,336,320,1,3,12,300,36,607,271,45,159,78,10,1,7
41,VRANCEA,"CAMIN CULTURAL VIRTESCOIU",331,VÂRTEŞCOIU,178689,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 11:11:18",1275,1263,2,2,8,666,655,1,2,8,622,44,1401,735,97,386,57,43,6,33
41,VRANCEA,"CAMINUL CULTURAL",117,BORDEŞTI,175439,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-17 20:30:47",972,929,0,12,31,582,539,0,12,31,555,27,1049,467,187,223,32,81,8,24
41,VRANCEA,"CAMINUL CULTURAL",190,HOMOCEA,176445,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 03:55:15",1679,1653,0,7,19,466,440,0,7,19,452,14,1840,1374,327,53,17,3,10,42
41,VRANCEA,"CAMINUL CULTURAL",194,HOMOCEA,176445,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 03:57:43",990,974,0,3,13,514,498,0,3,13,494,20,1093,579,289,99,39,5,21,41
41,VRANCEA,"CĂMINUL CULTURAL",283,"SLOBOZIA CIORĂŞTI",177726,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 03:16:44",1069,1029,4,6,30,558,521,1,6,30,532,26,1166,608,65,347,55,20,5,40
41,VRANCEA,"CĂMINUL CULTURAL BOGZA",274,SIHLEA,177600,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 08:14:50",684,660,0,9,15,300,276,0,9,15,282,18,729,429,161,92,14,9,2,4
41,VRANCEA,"CAMINUL CULTURAL BUDESTI",149,COTEŞTI,175885,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 13:16:40",1476,1443,1,5,27,830,797,1,5,27,782,48,1621,791,151,274,123,201,8,25
41,VRANCEA,"CĂMINUL CULTURAL CÂNDEȘTI",153,DUMBRĂVENI,175938,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 03:50:10",1147,1120,2,13,12,643,617,1,13,12,619,24,1237,594,200,319,48,10,10,32
41,VRANCEA,"CĂMINUL CULTURAL ”DIMITRIE CANTEMIR”",210,MERA,176686,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 07:18:35",1064,1034,1,6,23,683,653,1,6,23,650,33,959,276,343,240,42,6,8,11
41,VRANCEA,"CĂMINUL CULTURAL HĂULIȘCA",238,PĂULEŞTI,178910,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 05:16:48",524,514,0,3,7,331,321,0,3,7,308,23,573,242,88,180,21,11,6,2
41,VRANCEA,"CĂMINUL CULTURAL „NICOLAE CIORĂSCU” GUGEŞTI",180,GUGEŞTI,176301,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 03:56:25",1594,1581,0,2,11,695,682,0,2,11,663,32,1743,1048,82,477,57,29,3,15
41,VRANCEA,"CĂMINUL CULTURAL RĂCOASA",258,RĂCOASA,177405,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 06:01:27",905,884,1,7,13,462,442,0,7,13,443,19,986,524,105,231,76,18,5,8
41,VRANCEA,"CAMINUL CULTURAL STRAOANE DE JOS",289,STRĂOANE,177799,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 04:13:06",1097,1093,2,2,0,555,553,0,2,0,531,24,1218,663,180,263,45,26,4,13
41,VRANCEA,"CAMINUL CULTURAL STRAOANE DE SUS",290,STRĂOANE,177799,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 03:24:29",710,702,1,7,0,364,356,1,7,0,349,15,777,413,63,174,79,23,2,8
41,VRANCEA,"CĂMINUL CULTURAL VASILE ȚIROIU BOLOTEȘTI",111,BOLOTEŞTI,175368,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 03:27:41",606,588,2,7,9,305,289,0,7,9,288,17,650,345,181,45,41,14,1,6
41,VRANCEA,"CASA OBŞTII TULNICI",310,TULNICI,178117,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 05:25:35",1165,1142,1,16,6,600,578,0,16,6,531,47,1260,682,382,88,39,7,3,12
41,VRANCEA,"CASA OBŞTII TULNICI",309,TULNICI,178117,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 04:02:30",1151,1138,0,9,4,595,582,0,9,4,553,42,1256,661,400,106,24,8,3,12
41,VRANCEA,"CASA PRAZNICALĂ CIOLĂNEȘTI",168,FITIONEŞTI,176150,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 02:07:09",140,129,1,10,0,80,70,0,10,0,79,1,141,61,26,28,7,17,0,1
41,VRANCEA,"CASA PRAZNICALĂ FITIONEȘTI",166,FITIONEŞTI,176150,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 04:06:04",656,644,1,8,3,358,347,0,8,3,336,22,705,346,63,154,36,66,7,10
41,VRANCEA,"CASA PRAZNICALĂ GHIMICEȘTI",169,FITIONEŞTI,176150,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 04:17:23",312,301,0,11,0,167,156,0,11,0,143,24,331,164,26,48,15,42,3,9
41,VRANCEA,"CENTRU COMUNITAR MULTIFUNCȚIONAL CORBIȚA",145,CORBIŢA,175787,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 03:14:32",257,255,0,2,0,147,145,0,2,0,138,9,279,130,49,71,6,4,3,5
