precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"GHIMIŞ FLORENTIN-ADRIAN-PARTIDUL SOCIAL DEMOCRAT-voturi","ALEXE GHEORGHE-PARTIDUL NAȚIONAL LIBERAL-voturi","STAN IOAN-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi"
36,TELEORMAN,"LOCALUL GRĂDINIŢEI CLĂNIŢA",173,FRĂSINET,155127,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:25:24",514,489,0,12,13,385,360,0,12,13,367,18,550,165,232,114,21
36,TELEORMAN,"LOCALUL ŞCOLII GIMNAZIALE FRĂSINET",172,FRĂSINET,155127,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:32:07",1384,1333,1,15,35,1017,966,1,15,35,973,44,1508,491,613,348,12
