precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"ILIESCU SILVIU-GHEORGHE-PARTIDUL SOCIAL DEMOCRAT-voturi","JOIŢA NICOLAE-PARTIDUL NAȚIONAL LIBERAL-voturi","GHIOCA EMIL-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","POPA ARISTEL-ILIE-FORȚA DREPTEI-voturi","STURZU FLORIAN-PARTIDUL MIȘCAREA POPULARĂ-voturi"
40,VÂLCEA,"ŞCOALA GIMNAZIALĂ SĂRULEŞTI",272,LĂPUŞATA,170792,1,PART,PRCNCT,P,P_SV,"2024-06-10 06:25:23",1054,1015,0,26,13,753,714,0,26,13,671,39,1054,344,241,239,28,151,12
40,VÂLCEA,"ŞCOALA PRIMARĂ BROŞTENI",273,LĂPUŞATA,170792,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:39:26",558,538,0,15,5,380,360,0,15,5,369,11,590,210,156,103,11,94,5
