precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"POPESCU ALEXANDRU-MARIAN-PARTIDUL SOCIAL DEMOCRAT-voturi","MINEA PETRIŞOR-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","HORNEŢ ALINA-UNIUNEA SALVAȚI ROMÂNIA-voturi","BRĂILĂ IULIAN-EDUARD-PARTIDUL NAȚIONAL LIBERAL-voturi","DOBRE NICOLAE-AURELIAN-PARTIDUL UMANIST SOCIAL LIBERAL-voturi","SAVA CHIRU-PARTIDUL S.O.S. ROMÂNIA-voturi"
9,BRĂILA,"CORP ANEXA PARTER",169,CAZASU,44560,7,PART,PRCNCT,P,P_SV,"2024-06-10 09:21:49",1498,1486,0,11,1,795,783,0,11,1,780,15,1600,805,353,98,41,241,17,30
9,BRĂILA,"ȘCOALA GIMNAZIALĂ CAZASU",170,CAZASU,44560,6,PART,PRCNCT,P,P_SV,"2024-06-10 12:13:57",1909,1868,5,24,12,1139,1103,0,24,12,1113,26,2089,950,576,76,17,382,39,23
