precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","PARTIDUL ROMÂNIA MARE-voturi","PARTIDUL PATRIOȚILOR-voturi","PARTIDUL ECOLOGIST ROMÂN-voturi"
34,SIBIU,"CĂMIN CULTURAL ARPAȘU DE JOS",227,"ARPAŞU DE JOS",143959,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 05:15:43",921,911,2,8,0,595,587,0,8,0,567,28,1000,405,28,50,277,16,50,146
34,SIBIU,"CĂMINUL CULTURAL NOU ROMÂN",229,"ARPAŞU DE JOS",143959,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 05:32:51",310,280,3,18,9,199,172,0,18,9,196,3,317,118,8,71,109,1,0,7
34,SIBIU,"CLĂDIREA ȘCOLII GIMNAZIALE AUREL POPA- ARPAȘU DE SUS",228,"ARPAŞU DE JOS",143959,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 06:57:18",1080,1044,2,13,21,709,675,0,13,21,685,24,1150,441,100,285,195,81,9,15
