precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"ANTONE MARIAN-GHEORGHE-PARTIDUL SOCIAL DEMOCRAT-voturi","ANDREI OVIDIU-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","DRAGOMIR MIRCEA-MIHAI-PARTIDUL NAȚIONAL LIBERAL-voturi"
34,SIBIU,"PRIMARIA COMUNEI BIERTAN",245,BIERTAN,144198,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:48:36",1357,1323,0,15,19,615,581,0,15,19,589,26,1490,875,169,48,372
34,SIBIU,"SCOALA PRIMARA COPSA MARE",246,BIERTAN,144198,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:10:59",412,401,2,7,2,194,183,2,7,2,190,4,433,239,58,32,100
34,SIBIU,"SCOALA PRIMARA RICHIS",247,BIERTAN,144198,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:07:35",648,626,8,8,6,335,319,2,8,6,322,13,690,355,31,80,211
